Column,Description
medications/medication_name_vitamins_supplements,"If the patient underwent treatment, the medications and vitamin supplements taken"
medications/history_source,Whether the medications or supplements were from medical records or self-reported
procurement/tumor_tissue_collection_frozen_with_oct,Whether tumor tissue was collected from samples frozen in OCT
follow-up/number_of_days_from_date_of_initial_pathologic_diagnosis_to_date_of_last_contact,"Time between pathologic diagnosis and date of last contact, in days"
follow-up/number_of_days_from_date_of_initial_pathologic_diagnosis_to_date_of_death,"Time between pathologic diagnosis and death event, in days"
follow-up/cause_of_death,"Cause of death, whether from main malignancy, other, or unknown"
follow-up/number_of_days_from_date_of_collection_to_date_of_last_contact,"Time between surgical tissue collection and date of last contact, in days"
follow-up/number_of_days_from_date_of_collection_to_date_of_death,"Time between surgical tissue collection and death event, in days"
follow-up/adjuvant_post-operative_radiation_therapy,Whether adjuvant port-operative radiation therapy was performed
follow-up/adjuvant_post-operative_pharmaceutical_therapy,Whether adjuvant port-operative pharmaceutical therapy was administered
follow-up/adjuvant_post-operative_immunological_therapy,Whether adjuvant port-operative immunological therapy was administered
follow-up/measure_of_success_of_outcome_at_the_completion_of_initial_first_course_treatment,"Whether the disease was considered responsive, in remission, persistent, progressive or stable at the completion of first course of treatment"
follow-up/measure_of_success_of_outcome_at_date_of_last_contact_or_death,"Whether the disease was considered responsive, in remission, persistent, progressive or stable at the completion at the date of last contact or death"
follow-up/new_tumor_after_initial_treatment,Whether a new tumor was detected after the first course of treatment
follow-up/number_of_days_from_date_of_initial_pathologic_diagnosis_to_date_of_new_tumor_event_after_initial_treatment,Time from initial pathologic diagnosis to new tumor event after first course of treatment
follow-up/type_of_new_tumor,"If there was a new tumor event after the initial course of treatment, the type of new tumor detected"
follow-up/site_of_new_tumor,"If there was a new tumor event after the initial course of treatment, the primary site of new tumor detected"
follow-up/other_site_of_new_tumor,"If there was a new tumor event after the initial course of treatment, additional sites of new tumor detected"
follow-up/diagnostic_evidence_of_recurrence_or_relapse,"Whether recurrence or relapse was evidenced by biopsy, imaging, or biomarker detection"
follow-up/additional_surgery_for_new_tumor_loco-regional,"If there was a new tumor event after the initial course of treatment, whether there were additional sites of the new tumor located"
follow-up/additional_surgery_for_new_tumor_metastasis,"If there was a new tumor event after the initial course of treatment, whether there was surgical intervention"
follow-up/residual_tumor_after_surgery_for_new_tumor,"If there was a new tumor event after the initial course of treatment and surgical intervention, residual tumor (R) classification indicating whether cancer cells remain after attempts to remove the cancer"
follow-up/additional_treatment_radiation_therapy_for_new_tumor,"If there was a new tumor event after the initial course of treatment, whether there was additional radition therapy"
follow-up/additional_treatment_pharmaceutical_therapy_for_new_tumor,"If there was a new tumor event after the initial course of treatment, whether there was additional pharmaceutical therapy"
follow-up/additional_treatment_immuno_for_new_tumor,"If there was a new tumor event after the initial course of treatment, whether there was additional immunological therapy"
follow-up/number_of_days_from_date_of_initial_pathologic_diagnosis_to_date_of_additional_surgery_for_new_tumor_event_loco-regional,"If there was a new tumor event after the initial course of treatment and surgival intervention, time between initial pathological diagnosis and additional surgery for new tumor"
follow-up/number_of_days_from_date_of_initial_pathologic_diagnosis_to_date_of_additional_surgery_for_new_tumor_event_metastasis,"If there was a new tumor event after the initial course of treatment and surgival intervention, time between initial pathological diagnosis and additional surgery for new tumor metastasis"
"Recurrence-free survival, days",Time from initial tumor diagnosis to diagnosis of recurrent event in days
"Recurrence status (1, yes; 0, no)",Whether there was tumor or recurrence/progression detected at date of last contact
"Overall survival, days",Time from diagnosis to death event or date of last contact
"Survival status (1, dead; 0, alive)",Vital status at date of last contact
"Time between collection and diagnosis, days",The time between the date of collection (either surgery or biopsy) and the date the pathologist signed pathological diagnosis; Negative values indicate that diagnosis occurred after the surgery or biopsy.
