original_paper_variable_names,GDC_format_variable_names,generated_column_type
tobacco_smoking_history,tobacco_smoking_status,tobacco_smoking_status
medical_condition,None,primary_diagnosis
Neoplastic_cellularity,None,None
Acinar_fraction,None,None
Islet_fraction,None,None
Stromal_fraction,None,None
Non_neoplastic_duct,None,None
Fat_fraction,None,None
Inflammation_fraction,None,None
Muscle_fraction,None,None
follow_up_days,None,days_to_last_follow_up
vital_status,vital_status,vital_status
is_this_patient_lost_to_follow_up,None,None
cause_of_death,cause_of_death,cause_of_death
TMT_set,None,None
channel_name,None,None
sample_type,None,tissue_type
Unnamed: 0,None,None
C3L-03394,None,None
C3N-03428,None,None
C3L-02112,None,None
C3N-01719,None,None
C3N-03670,None,None
C3N-02998,None,None
C3N-03211,None,None
C3L-01052,None,None
C3N-00512,None,None
C3N-02295,None,None
C3N-01012,None,None
C3N-01502,None,None
C3L-01053,None,None
C3L-03632,None,None
C3L-00401,None,None
C3L-01054,None,None
C3N-00517,None,None
C3N-03440,None,None
C3L-04495,None,None
C3N-04284,None,None
C3N-00957,None,None
C3L-03395,None,None
C3N-00303,None,None
C3N-00513,None,None
C3N-01166,None,None
C3N-01382,None,None
C3N-01011,None,None
C3L-04473,None,None
C3N-01997,None,None
C3L-00640,None,None
C3L-00189,None,None
C3N-01998,None,None
C3L-01036,None,None
C3N-03069,None,None
C3L-00881,None,None
C3N-01715,None,None
C3N-03426,None,None
C3N-00198,None,None
C3N-01380,None,None
C3N-01388,None,None
C3L-03388,None,None
C3N-02589,None,None
C3L-03356,None,None
C3N-02944,None,None
C3N-00436,None,None
C3L-00928,None,None
C3L-01124,None,None
C3N-02592,None,None
C3N-01383,None,None
C3N-03439,None,None
C3N-03006,None,None
C3N-01165,None,None
C3N-03173,None,None
C3L-04475,None,None
C3L-04853,None,None
C3L-02115,None,tumor_largest_dimension_diameter
C3L-02701,None,None
C3L-00102,None,None
C3N-01375,None,None
C3N-03884,None,None
C3N-01168,None,None
C3L-00622,None,None
C3N-01381,None,None
C3L-01703,None,None
C3L-02118,None,None
C3L-03628,None,None
C3N-03780,None,None
C3L-01637,None,None
C3N-04119,None,None
C3L-02899,None,bmi
C3N-02971,None,None
C3N-02573,None,None
C3L-00819,None,None
C3N-01714,None,None
C3L-02890,None,None
C3L-02116,None,None
C3L-01453,None,tumor_largest_dimension_diameter
C3L-03635,None,None
C3N-00518,None,None
C3N-03840,None,None
C3L-02606,None,None
C3N-03061,None,None
C3L-04848,None,None
C3N-00514,None,None
C3L-02897,None,None
C3L-01687,None,None
C3N-02940,None,None
C3L-04080,None,None
C3N-03853,None,None
C3N-04283,None,None
C3L-02109,None,None
C3L-03630,None,tumor_largest_dimension_diameter
C3L-01662,None,None
C3N-00709,None,None
C3N-03007,None,None
C3N-03665,None,None
C3L-01598,None,None
C3L-00599,None,tumor_largest_dimension_diameter
C3L-01051,None,None
C3N-01716,None,None
C3N-03839,None,None
C3L-04479,None,None
C3L-00625,None,None
C3N-03754,None,None
C3L-01037,None,None
C3N-03666,None,None
C3N-04126,None,None
C3L-00017,None,None
C3L-01689,None,None
C3L-04027,None,None
C3N-02585,None,None
C3N-03039,None,None
C3N-03086,None,None
C3L-02463,None,None
C3N-00249,None,None
C3L-00589,None,None
C3N-00302,None,None
C3L-03743,None,None
C3N-00511,None,None
C3N-03190,None,None
C3N-00516,None,None
C3L-02610,None,None
C3N-02579,None,None
C3N-03000,None,None
C3L-00598,None,None
C3N-03430,None,None
C3L-02809,None,None
C3N-02768,None,None
C3L-03123,None,None
C3N-02010,None,None
C3L-01031,None,None
C3N-01167,None,None
C3L-01971,None,None
C3L-02604,None,None
C3L-00277,None,None
C3L-01328,None,None
C3L-03639,None,tumor_largest_dimension_diameter
C3N-04282,None,None
C3L-04072,None,None
C3L-02613,None,tumor_largest_dimension_diameter
Case_ID,None,case_submitter_id
Type,None,tissue_type
TMT_Set,None,None
TMT_Channel,None,None
Proteins,None,None
Peptides,None,None
Phosphoproteins,None,None
Phosphopeptides,None,None
Phosphosites,None,None
N-Glycoproteins,None,None
N-Glycopeptides,None,None
N-Glycosites,None,None
O-Glycoproteins,None,None
O-Glycopeptides,None,None
