Supplemental Table 1,Unnamed: 1
,"Columns below indicate the mutation status (0=WT,1=Mutation) of significantly mutated genes genes described above"
TP53.Mutation.Status,Mutation status (non-synonymous)
PIK3CA.Mutation.Status,Mutation status (non-synonymous)
PTEN.Mutation.Status,Mutation status (non-synonymous)
MAP3K1.Mutation.Status,Mutation status (non-synonymous)
AKT1.Mutation.Status,Mutation status (non-synonymous)
GATA3.Mutation.Status,Mutation status (non-synonymous)
CBFB.Mutation.Status,Mutation status (non-synonymous)
KMT2C.Mutation.Status,Mutation status (non-synonymous)
SF3B1.Mutation.Status,Mutation status (non-synonymous)
ARID1A.Mutation.Status,Mutation status (non-synonymous)
MLLT4.Mutation.Status,Mutation status (non-synonymous)
,
B) QC RNA-seq,Description
Sample.ID,Aliquot ACGT sample ID for the tumor sample
ACGT tag ID,Intenal ACGT tag ID for the tumor sample
Total reads,Toal number of reads in tumor sample
 QC,Passed QC samples
 mapping rates(%),Percentage of mapped reads
No. of transcripts,Total number of transcripts identified in the tumor sample
,
C) QC WXS,*Taken from picard metric definitions ( https://broadinstitute.github.io/picard/picard-metric-definitions.html)
Type,Tumor/normal
Sample.ID,Aliquot  sample ID for the tumor/ normal sample
participant,Participant ID
TOTAL_READS,The total number of reads in the input file
PF_READS,The number of reads that are PF - pass filter
READ_LENGTH,The average read length of all the reads (will be fixed for a lane)
TOTAL_BASES,The total number of bases in all reads
PF_BASES,The total number of bases in all PF reads
Q20_BASES,The number of bases in all reads that achieve quality score 20 or higher
PF_Q20_BASES,The number of bases in PF reads that achieve quality score 20 or higher
Q30_BASES,The number of bases in all reads that achieve quality score 30 or higher
PF_Q30_BASES,The number of bases in PF reads that achieve quality score 30 or higher
Q20_EQUIVALENT_YIELD,The sum of quality scores of all bases divided by 20
PF_Q20_EQUIVALENT_YIELD,The sum of quality scores of all bases in PF reads divided by 20
,
D) QC mutation calls,*Taken frm the GDC MAF format (https://docs.gdc.cancer.gov/Data/File_Formats/MAF_Format)
1 - Hugo_Symbol,"HUGO symbol for the gene (HUGO symbols are always in all caps). ""Unknown"" is used for regions that do not correspond to a gene"
2 - Chromosome,The affected chromosome number
3 - Start_Position,Lowest numeric position of the reported variant on the genomic reference sequence. Mutation start coordinate
4 - End_Position,Highest numeric genomic position of the reported variant on the genomic reference sequence. Mutation end coordinate
5 - Variant_Classification,Translational effect of variant allele
6 - Variant_Type,"Type of mutation. TNP (tri-nucleotide polymorphism) is analogous to DNP (di-nucleotide polymorphism) but for three consecutive nucleotides. ONP (oligo-nucleotide polymorphism) is analogous to TNP but for consecutive runs of four or more (SNP, DNP, TNP, ONP, INS, DEL, or Consolidated)"
7 - Tumor_Sample_Barcode,Aliquot barcode for the tumor sample
8 - Matched_Norm_Sample_Barcode,Aliquot barcode for the matched normal sample
9 - n_ref_count,Read depth supporting the reference allele in normal BAM (cleared in somatic MAF)
10- t_ref_count,Read depth supporting the reference allele in tumor BAM
11- n_alt_count,Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
12- t_depth,Read depth across this locus in tumor BAM
13- n_depth,Read depth across this locus in normal BAM
14- Passed_Filters,This includes filters implemented directly by the variant caller and other external software used in the DNA-Seq pipeline.
