Unnamed: 0,Unnamed: 1,counts,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,p-values (Bonferroni corrected),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
NFE2L2.mutation.status,0,22,20,15,21,17,1,1,1,1,1
NFE2L2.mutation.status,1,1,10,1,1,0,1,0.0745587583088843,1,1,1
ARID1A.mutation.status,0,19,25,15,19,16,1,1,1,1,1
ARID1A.mutation.status,1,4,5,1,3,1,1,1,1,1,1
CUL3.mutation.status,0,23,24,16,22,15,1,1,1,1,1
CUL3.mutation.status,1,0,6,0,0,2,1,1,1,1,1
BRCA2.mutation.status,0,21,27,16,22,17,1,1,1,1,1
BRCA2.mutation.status,1,2,3,0,0,0,1,1,1,1,1
KEAP1.mutation.status,0,22,23,16,21,13,1,1,1,1,1
KEAP1.mutation.status,1,1,7,0,1,4,1,1,1,1,1
SUZ12.mutation.status,0,22,29,16,22,15,1,1,1,1,1
SUZ12.mutation.status,1,1,1,0,0,2,1,1,1,1,1
NF1.mutation.status,0,18,30,15,19,14,1,1,1,1,1
NF1.mutation.status,1,5,0,1,3,3,1,1,1,1,1
PIK3CA.mutation.status,0,20,28,14,21,14,1,1,1,1,1
PIK3CA.mutation.status,1,3,2,2,1,3,1,1,1,1,1
NOTCH1.mutation.status,0,22,25,12,20,14,1,1,1,1,1
NOTCH1.mutation.status,1,1,5,4,2,3,1,1,1,1,1
CUL3.NFE2L2.KEAP1.mutation.status,0,21,9,15,20,12,1,1,1,1,1
CUL3.NFE2L2.KEAP1.mutation.status,1,2,21,1,2,5,1,1.07695768726517e-05,1,1,1
CDKN2A.pathway.alteration.status,0,17,18,12,16,11,1,1,1,1,1
CDKN2A.pathway.alteration.status,1,6,12,4,6,6,1,1,1,1,1
PIK3CA.pathway.alteration.status,0,13,4,8,17,11,1,1,1,1,1
PIK3CA.pathway.alteration.status,1,10,26,8,5,6,1,0.00161240248272849,1,1,1
FGFR3.TACC3.fusion.rna,0,21,30,16,22,17,1,1,1,1,1
FGFR3.TACC3.fusion.rna,1,2,0,0,0,0,1,1,1,1,1
KAT6A.scna.wxs,0,17,29,16,18,12,1,1,1,1,1
KAT6A.scna.wxs,2,6,1,0,4,5,1,1,1,1,1
SOX2.scna.wxs,0,14,3,10,18,12,1,1,1,1,1
SOX2.scna.wxs,2,9,27,6,4,5,1,9.97892267521101e-06,1,1,1
TP63.scna.wxs,0,15,7,12,16,13,1,1,1,1,1
TP63.scna.wxs,2,8,23,4,6,4,1,0.00362518152216302,1,1,1
FGFR1.scna.wxs,0,14,25,13,17,11,1,1,1,1,1
FGFR1.scna.wxs,2,9,5,3,5,6,1,1,1,1,1
CDKN2A.scna.wxs,-2,1,4,2,0,2,1,1,1,1,1
CDKN2A.scna.wxs,0,22,26,14,22,15,1,1,1,1,1
Subtype.TCGA.rna,Basal,15,1,9,3,2,0.013929961239144,1,1,1,1
Subtype.TCGA.rna,Classical,6,28,1,3,4,1,1.63100000025139e-10,1,1,1
Subtype.TCGA.rna,Primitive,0,0,0,0,9,1,1,1,1,3.88448279303794e-06
Subtype.TCGA.rna,Secretory,1,0,5,14,2,1,1,1,0.000230237020222656,1
Subtype.TCGA.rna,Unknown,1,1,1,2,0,1,1,1,1,1
NMF.cluster,Basal inclusive,23,0,0,0,0,3.43620354813565e-21,1,1,1,1
NMF.cluster,Classical,0,30,0,0,0,1,1.41726895703381e-24,1,1,1
NMF.cluster,EMT enriched,0,0,16,0,0,1,1,1.2279089334924e-16,1,1
NMF.cluster,Inflamed secretory,0,0,0,22,0,1,1,1,1.28484132669419e-20,1
NMF.cluster,Proliferative primitive,0,0,0,0,17,1,1,1,1,2.26896215971422e-17
Immune.Subtype.Thorsson2018.rna,IFN-gamma dominant,13,14,4,15,7,1,1,1,1,1
Immune.Subtype.Thorsson2018.rna,Inflammatory,0,0,0,2,0,1,1,1,1,1
Immune.Subtype.Thorsson2018.rna,Lymphocyte depleted,0,2,0,0,0,1,1,1,1,1
Immune.Subtype.Thorsson2018.rna,TGF-beta dominant,6,2,7,5,1,1,1,1,1,1
Immune.Subtype.Thorsson2018.rna,Wound Healing,4,12,5,0,9,1,1,1,1,1
ImmuneCluster,Cold Tumor,10,14,6,0,8,1,1,1,1,1
ImmuneCluster,Hot Tumor,0,2,3,16,3,1,1,1,3.98177602897789e-06,1
ImmuneCluster,Warm Tumor,13,14,7,6,6,1,1,1,1,1
