TMT_set,channel_name,case_id,sample_type
3,129N,C3L-02610,Tumor
3,129C,C3N-03853,Tumor
3,130N,C3N-03000,Tumor
3,131N,C3N-04283,Tumor
3,131C,C3L-04495,Tumor
4,127C,C3L-01689,Tumor
4,128N,C3N-02768,Tumor
4,128C,C3N-03430,Tumor
4,130N,C3N-01388,Tumor
4,130C,C3L-03388,Tumor
5,127N,C3L-01971,Tumor
5,128N,C3L-03628,Tumor
5,129N,C3N-01998,Tumor
6,127N,C3L-01637,Tumor
6,128N,C3N-00198,Tumor
6,128C,C3L-03394,Tumor
6,129C,C3N-02971,Tumor
6,130N,C3N-00249,Tumor
7,127C,C3N-03754,Tumor
7,129N,C3L-01453,Tumor
7,129C,C3L-02809,Tumor
7,130N,C3L-02109,Tumor
7,130C,C3L-01598,Tumor
7,131N,C3N-03173,Tumor
8,127C,C3N-03666,Tumor
8,129C,C3L-04479,Tumor
8,130N,C3N-01168,Tumor
8,130C,C3L-02606,Tumor
8,131N,C3N-01997,Tumor
8,131C,C3N-02589,Tumor
9,127N,C3L-02463,Tumor
9,127C,C3L-03743,Tumor
9,128N,C3L-01051,Tumor
9,129N,C3N-03211,Tumor
9,130C,C3N-02940,Tumor
10,127C,C3N-00436,Tumor
10,128N,C3N-01716,Tumor
10,128C,C3L-04475,Tumor
10,130N,C3N-00516,Tumor
10,130C,C3L-02115,Tumor
10,131C,C3L-04473,Tumor
11,127C,C3L-04848,Tumor
11,128N,C3L-00881,Tumor
11,128C,C3L-00277,Tumor
11,130C,C3N-00513,Tumor
11,131C,C3N-02579,Tumor
12,127C,C3L-03395,Tumor
12,128N,C3N-03780,Tumor
12,129N,C3L-02897,Tumor
12,130N,C3L-01036,Tumor
12,130C,C3N-03439,Tumor
12,131C,C3L-01037,Tumor
13,128N,C3L-00819,Tumor
13,128C,C3N-04282,Tumor
13,129N,C3N-03086,Tumor
13,129C,C3N-00957,Tumor
13,131C,C3N-03428,Tumor
14,127N,C3L-03635,Tumor
14,127C,C3L-00625,Tumor
14,128N,C3L-00189,Tumor
14,128C,C3N-03061,Tumor
14,129N,C3N-03440,Tumor
14,129C,C3L-01662,Tumor
14,130C,C3N-00303,Tumor
15,127N,C3L-01703,Tumor
15,127C,C3L-03632,Tumor
15,128N,C3N-01383,Tumor
15,128C,C3N-02010,Tumor
15,129N,C3L-01124,Tumor
15,129C,C3N-01382,Tumor
15,130C,C3N-00302,Tumor
16,127N,C3L-00102,Tumor
16,127C,C3L-04080,Tumor
16,128N,C3N-00518,Tumor
16,128C,C3L-02116,Tumor
16,129N,C3N-03665,Tumor
16,130N,C3L-04072,Tumor
16,131C,C3N-02998,Tumor
17,127N,C3N-03840,Tumor
17,128C,C3N-00517,Tumor
17,129N,C3L-02112,Tumor
17,129C,C3L-00598,Tumor
17,130C,C3L-00928,Tumor
18,127C,C3N-03426,Tumor
18,128N,C3N-01714,Tumor
18,128C,C3N-03039,Tumor
18,129N,C3N-01165,Tumor
18,129C,C3N-01502,Tumor
18,130C,C3N-01380,Tumor
18,131N,C3L-02604,Tumor
18,131C,C3N-02585,Tumor
19,127C,C3N-04119,Tumor
19,128C,C3L-04853,Tumor
19,129N,C3N-03007,Tumor
19,129C,C3N-04284,Tumor
19,130N,C3N-02592,Tumor
19,130C,C3N-02944,Tumor
20,127C,C3L-00640,Tumor
20,128N,C3N-01719,Tumor
20,128C,C3L-03639,Tumor
20,129C,C3L-00017,Tumor
20,130N,C3N-03670,Tumor
20,130C,C3L-01328,Tumor
20,131N,C3N-00514,Tumor
21,127N,C3N-02295,Tumor
21,127C,C3N-02573,Tumor
21,128N,C3L-01052,Tumor
21,128C,C3L-00622,Tumor
21,129N,C3N-00709,Tumor
21,130N,C3L-04027,Tumor
22,127N,C3L-02701,Tumor
22,128N,C3L-01053,Tumor
22,128C,C3N-03190,Tumor
22,129N,C3N-01715,Tumor
22,129C,C3L-01031,Tumor
22,130C,C3N-01012,Tumor
22,131C,C3N-01167,Tumor
23,127C,C3N-01011,Tumor
23,128N,C3N-03839,Tumor
23,128C,C3N-01375,Tumor
23,129N,C3N-01381,Tumor
23,129C,C3L-00401,Tumor
23,131C,C3L-02118,Tumor
24,127N,C3N-00511,Tumor
24,127C,C3L-02613,Tumor
24,128C,C3N-00512,Tumor
24,129N,C3L-02899,Tumor
24,130N,C3N-03006,Tumor
24,131N,C3N-03069,Tumor
1,126,Ref,Ref
2,126,Ref,Ref
3,126,Ref,Ref
4,126,Ref,Ref
5,126,Ref,Ref
6,126,Ref,Ref
7,126,Ref,Ref
8,126,Ref,Ref
9,126,Ref,Ref
10,126,Ref,Ref
11,126,Ref,Ref
12,126,Ref,Ref
13,126,Ref,Ref
14,126,Ref,Ref
15,126,Ref,Ref
16,126,Ref,Ref
17,126,Ref,Ref
18,126,Ref,Ref
19,126,Ref,Ref
20,126,Ref,Ref
21,126,Ref,Ref
22,126,Ref,Ref
23,126,Ref,Ref
24,126,Ref,Ref
24,129C,Ref,Ref
25,126,Ref,Ref
1,127N,QC,QC
5,128C,QC,QC
9,128C,QC,QC
13,130N,QC,QC
17,131N,QC,QC
22,130N,QC,QC
