column name,column type,description,maximum,minimum
no_matched_normal_targeted_sequencing,boolean,There will be no matched normal Targeted Sequencing aliquots for this case that can be used for variant calling purposes. The GDC may elect to use a single tumor calling pipeline to process this data.,Not specified,Not specified
no_matched_normal_wgs,boolean,There will be no matched normal WGS aliquots for this case that can be used for variant calling purposes. The GDC may elect to use a single tumor calling pipeline to process this data.,Not specified,Not specified
no_matched_normal_wxs,boolean,There will be no matched normal WXS aliquots for this case that can be used for variant calling purposes. The GDC may elect to use a single tumor calling pipeline to process this data.,Not specified,Not specified
source_center,string,Name of the center that provided the item.,Not specified,Not specified
selected_normal_wxs,boolean,Denotes which WXS normal aliquot the submitter prefers to use for variant calling. Only one normal per experimental strategy per case can be selected.,Not specified,Not specified
selected_normal_wgs,boolean,Denotes which WGS normal aliquot the submitter prefers to use for variant calling. Only one normal per experimental strategy per case can be selected.,Not specified,Not specified
selected_normal_targeted_sequencing,boolean,Denotes which targeted_sequencing normal aliquot the submitter prefers to use for variant calling. Only one normal per experimental strategy per case can be selected.,Not specified,Not specified
selected_normal_low_pass_wgs,boolean,Denotes which low-pass WGS normal aliquot the submitter prefers to use for variant calling. Only one normal per experimental strategy per case can be selected.,Not specified,Not specified
analytes,,Not specified,Not specified,Not specified
centers,,Not specified,Not specified,Not specified
submitted_genomic_profiles,,Not specified,Not specified,Not specified
copy_number_liftover_workflows,,Not specified,Not specified,Not specified
revision,number,The revision of this archive in the DCC.,Not specified,Not specified
projects,,Not specified,Not specified,Not specified
related_to_files,,Not specified,Not specified,Not specified
somatic_mutation_calling_workflows,,Not specified,Not specified,Not specified
submitted_methylation_beta_values,,Not specified,Not specified,Not specified
awg_review,boolean,Indicates that the project is an AWG project.,Not specified,Not specified
code,string,Project code,Not specified,Not specified
disease_type,string,Full name for the project,Not specified,Not specified
intended_release_date,,Tracks a Project's intended release date.,Not specified,Not specified
in_review,boolean,Indicates that the project is under review by the submitter. Upload and data modification is disabled.,Not specified,Not specified
is_legacy,boolean,Indicates whether a project will appear in the Legacy Archive.,Not specified,Not specified
primary_site,string,Primary site for the project,Not specified,Not specified
release_requested,boolean,User requests that the GDC release the project. Release can only be requested if the project is releasable.,Not specified,Not specified
released,boolean,To release a project is to tell the GDC to include all submitted entities in the next GDC index.,Not specified,Not specified
releasable,boolean,A project can only be released by the user when `releasable` is true.,Not specified,Not specified
request_submission,boolean,Indicates that the user has requested submission to the GDC for harmonization.,Not specified,Not specified
submission_enabled,boolean,Indicates if submission to a project is allowed.,Not specified,Not specified
programs,,Not specified,Not specified,Not specified
days_to_consent,integer,Number of days between the date used for index and the date the subject consent was obtained for participation in the study.,Not specified,Not specified
days_to_lost_to_followup,integer,The number of days between the date used for index and to the date the patient was lost to follow-up.,Not specified,Not specified
tissue_source_sites,,Not specified,Not specified,Not specified
schema_version,string,Not specified,Not specified,Not specified
simple_somatic_mutations,,Not specified,Not specified,Not specified
structural_variant_calling_workflows,,Not specified,Not specified,Not specified
expression_analysis_workflows,,Not specified,Not specified,Not specified
imaging_date,,Not specified,Not specified,Not specified
magnification,number,Magnification used to capture the image.,Not specified,Not specified
slides,,Not specified,Not specified,Not specified
data_types,,Not specified,Not specified,Not specified
aliquots,,Not specified,Not specified,Not specified
annotated_somatic_mutations,,Not specified,Not specified,Not specified
structural_variations,,Not specified,Not specified,Not specified
copy_number_segments,,Not specified,Not specified,Not specified
archives,,Not specified,Not specified,Not specified
rna_expression_workflows,,Not specified,Not specified,Not specified
course_number,number,"The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.",Not specified,Not specified
days_to_treatment_end,integer,Number of days between the date used for index and the date the treatment ended.,Not specified,Not specified
days_to_treatment_start,integer,Number of days between the date used for index and the date the treatment started.,Not specified,Not specified
lesions_treated_number,number,The number of lesions treated.,Not specified,Not specified
number_of_cycles,integer,The numeric value used to describe the number of cycles of a specific treatment or regimen the patient received.,Not specified,Not specified
number_of_fractions,number,The total number of divided radiation doses received.,Not specified,Not specified
prescribed_dose,number,A quantity of an agent prescribed to the study participant.,Not specified,Not specified
regimen_or_line_of_therapy,string,The text term used to describe the regimen or line of therapy.,Not specified,Not specified
route_of_administration,array,The pathway by which a substance is administered in order to reach the site of action in the body.,Not specified,Not specified
therapeutic_level_achieved,boolean,"Indicates a target level of treatment was reached, according to the patient's treatment plan.",Not specified,Not specified
treatment_anatomic_sites,array,The anatomic site or field targeted by a treatment regimen or single agent therapy.,Not specified,Not specified
treatment_dose,integer,The numeric value used to describe the total dose of an agent the patient received.,Not specified,Not specified
treatment_dose_max,number,A maximum quantity of an agent administered to the study participant.,Not specified,Not specified
treatment_duration,integer,The number of days during which the treatment was given.,Not specified,Not specified
treatment_outcome_duration,integer,The number of days a patient reached a specific result or effect after treatment.,Not specified,Not specified
creation_datetime,number,The datetime of portion creation encoded as seconds from epoch.,Not specified,Not specified
is_ffpe,boolean,Indicator to signify whether or not the tissue sample was fixed in formalin and embedded in paraffin (FFPE).,Not specified,Not specified
portion_number,string,Numeric value that represents the sequential number assigned to a portion of the sample.,Not specified,Not specified
aa_change,string,Alphanumeric value used to describe the amino acid change for a specific genetic variant. Example: R116Q.,Not specified,Not specified
biospecimen_volume,number,The volume of the biospecimen.,Not specified,Not specified
blood_test_normal_range_lower,number,Numeric value used to describe the lower limit of the normal range used to describe a healthy individual at the institution where the test was completed.,Not specified,Not specified
blood_test_normal_range_upper,number,Numeric value used to describe the upper limit of the normal range used to describe a healthy individual at the institution where the test was completed.,Not specified,Not specified
cell_count,integer,Numeric value used to describe the number of cells used for molecular testing.,Not specified,Not specified
copy_number,number,"Numeric value used to describe the number of times a section of the genome is repeated or copied within an insertion, duplication or deletion variant.",Not specified,Not specified
cytoband,string,"Alphanumeric value used to describe the cytoband or chromosomal location targeted or included in molecular analysis. If a specific genetic variant is being reported, this property can be used to capture the cytoband where the variant is located. Format: [chromosome][chromosome arm].[band+sub-bands]. Example: 17p13.1.",Not specified,Not specified
days_to_test,integer,Number of days between the date used for index and the date of the laboratory test.,Not specified,Not specified
exon,string,"Exon number targeted or included in a molecular analysis. If a specific genetic variant is being reported, this property can be used to capture the exon where that variant is located.",Not specified,Not specified
intron,string,"Intron number targeted or included in molecular analysis. If a specific genetic variant is being reported, this property can be used to capture the intron where that variant is located.",Not specified,Not specified
loci_abnormal_count,integer,Numeric value used to describe the number of loci determined to be abnormal.,Not specified,Not specified
loci_count,integer,Numeric value used to describe the number of loci tested.,Not specified,Not specified
locus,string,"The position of a gene or a chromosomal marker on a chromosome; also, a stretch of DNA at a particular place on a particular chromosome. The use of locus is sometimes restricted to mean regions of DNA that are expressed.",Not specified,Not specified
mitotic_count,number,"The number of mitoses identified under the microscope in tumors. The method of counting varies, according to the specific tumor examined. Usually, the mitotic count is determined based on the number of mitoses per high power field (40X) or 10 high power fields.",Not specified,Not specified
mitotic_total_area,number,The total area reviewed when calculating the mitotic index ratio.,Not specified,Not specified
second_exon,string,"The second exon number involved in molecular variation. If a specific genetic variant is being reported, this property can be used to capture the second exon where that variant is located. This property is typically used for a translocation where two different locations are involved in the variation.",Not specified,Not specified
specialized_molecular_test,string,Text term used to describe a specific test that is not covered in the list of molecular analysis methods.,Not specified,Not specified
test_value,number,The text term or numeric value used to describe a specific result of a molecular test.,Not specified,Not specified
transcript,string,Alphanumeric value used to describe the transcript of a specific genetic variant.,Not specified,Not specified
submitted_tangent_copy_numbers,,Not specified,Not specified,Not specified
project,string,Study name of the project.,Not specified,Not specified
bcr_id,string,TCGA-provided BCR id.,Not specified,Not specified
raw_methylation_arrays,,Not specified,Not specified,Not specified
cause_of_response,string,The text term used to describe the suspected cause or reason for the patient disease response.,Not specified,Not specified
days_to_adverse_event,integer,Number of days between the date used for index and the date of the patient's adverse event.,Not specified,Not specified
days_to_first_event,integer,The number of days from the index date to the date of the first event.,Not specified,Not specified
days_to_follow_up,,Number of days between the date used for index and the date of the patient's last follow-up appointment or contact.,32872,-32872
days_to_imaging,integer,Number of days between the date used for index and the date the imaging or scan was performed on the patient.,Not specified,Not specified
days_to_progression,integer,Number of days between the date used for index and the date the patient's disease progressed.,Not specified,Not specified
days_to_progression_free,integer,Number of days between the date used for index and the date the patient's disease was formally confirmed as progression-free.,Not specified,Not specified
days_to_recurrence,integer,Number of days between the date used for index and the date the patient's disease recurred.,Not specified,Not specified
days_to_risk_factor,integer,The number of days from the index date to the date the patient was diagnosed with a specific risk factor.,Not specified,Not specified
discontiguous_lesion_count,integer,The number of the discontiguous lesions in a new tumor event.,Not specified,Not specified
imaging_anatomic_site,array,The named location(s) within the body where an image was taken.,Not specified,Not specified
imaging_suv,number,The standardized update value (SUV) is the effectively dimensionless measure of regional tracer uptake calculated as the activity concentration within a 2D region of interest (ROI) or 3D volume of interest (VOI) measured on a PET image (nCi1mL) / [injected dose (nCi) / body weight (g)].,Not specified,Not specified
imaging_suv_max,number,"The standardized update value (SUV) is the effectively dimensionless measure of regional tracer uptake calculated as the activity concentration within a 2D region of interest (ROI) or 3D volume of interest (VOI) measured on a PET image (nCi1mL) / [injected dose (nCi) / body weight (g)]. Specifically, the maximum SUV recorded for a patient.",Not specified,Not specified
recist_targeted_regions_number,integer,"Numeric value that represents the number of baseline target lesions, as described by the Response Evaluation Criteria in Solid Tumours (RECIST) criteria.",Not specified,Not specified
recist_targeted_regions_sum,number,"Numeric value that represents the sum of baseline target lesions, as described by the Response Evaluation Criteria in Solid Tumours (RECIST) criteria.",Not specified,Not specified
year_of_follow_up,integer,The year of the patient's last follow-up appointment or contact.,Not specified,Not specified
adapter_name,string,Name of the sequencing adapter.,Not specified,Not specified
adapter_sequence,string,Base sequence of the sequencing adapter.,Not specified,Not specified
base_caller_name,string,Name of the base caller.,Not specified,Not specified
base_caller_version,string,Version of the base caller.,Not specified,Not specified
days_to_sequencing,integer,Number of days between the date used for index and the date the read group was sequenced.,Not specified,Not specified
experiment_name,string,Submitter-defined name for the experiment.,Not specified,Not specified
flow_cell_barcode,string,Flow cell barcode. Wrong or missing information may affect analysis results.,Not specified,Not specified
fragment_maximum_length,integer,"Maximum length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer).",Not specified,Not specified
fragment_mean_length,number,"Mean length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer).",Not specified,Not specified
fragment_minimum_length,integer,"Minimum length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer).",Not specified,Not specified
fragment_standard_deviation_length,number,"Standard deviation of the sequenced fragments length (e.g., as predicted by Agilent Bioanalyzer).",Not specified,Not specified
includes_spike_ins,boolean,Spike-in included?,Not specified,Not specified
is_paired_end,,Are the reads paired end?,Not specified,Not specified
lane_number,integer,"The basic machine unit for sequencing. For Illumina machines, this reflects the physical lane number. Wrong or missing information may affect analysis results.",Not specified,Not specified
library_name,string,Name of the library.,Not specified,Not specified
library_preparation_kit_name,string,Name of Library Preparation Kit,Not specified,Not specified
library_preparation_kit_vendor,string,Vendor of Library Preparation Kit,Not specified,Not specified
library_preparation_kit_catalog_number,string,Catalog of Library Preparation Kit,Not specified,Not specified
library_preparation_kit_version,string,Version of Library Preparation Kit,Not specified,Not specified
multiplex_barcode,string,The barcode/index sequence used. Wrong or missing information may affect analysis results.,Not specified,Not specified
number_expect_cells,integer,Expected number of recovered cells in droplet-based single-cell libraries.,Not specified,Not specified
read_group_name,string,Read Group Name,Not specified,Not specified
read_length,,The length of the reads.,Not specified,0
rin,number,A numerical assessment of the integrity of RNA based on the entire electrophoretic trace of the RNA sample including the presence or absence of degradation products.,Not specified,Not specified
sequencing_center,string,Name of the center that provided the sequence files.,Not specified,Not specified
sequencing_date,,Not specified,Not specified,Not specified
size_selection_range,string,Range of size selection.,Not specified,Not specified
spike_ins_concentration,string,Spike in concentration.,Not specified,Not specified
spike_ins_fasta,string,Name of the FASTA file that contains the spike-in sequences.,Not specified,Not specified
target_capture_kit_catalog_number,string,Catalog of Target Capture Kit.,Not specified,Not specified
target_capture_kit_name,string,Name of Target Capture Kit.,Not specified,Not specified
target_capture_kit_target_region,string,Target Capture Kit BED file.,Not specified,Not specified
target_capture_kit_vendor,string,Vendor of Target Capture Kit.,Not specified,Not specified
target_capture_kit_version,string,Version of Target Capture Kit.,Not specified,Not specified
to_trim_adapter_sequence,boolean,Does the user suggest adapter trimming?,Not specified,Not specified
chip_id,string,User specified identifier for the chip used to perform the methylation microarray.,Not specified,Not specified
chip_position,string,User specified identifier for the specific position on the chip that the sample was loaded into to perform the methylation microarray.,Not specified,Not specified
plate_name,string,User specified identifier of the plate used to prepare the sample for analysis.,Not specified,Not specified
plate_well,string,User specified identifier for the specific well of the plate used to prepare the sample for analysis.,Not specified,Not specified
creator,string,Name of the person or entity responsible for the creation of the annotation.,Not specified,Not specified
notes,string,Open entry for any further description or characterization of the data.,Not specified,Not specified
legacy_created_datetime,,Not specified,Not specified,Not specified
legacy_updated_datetime,,Not specified,Not specified,Not specified
aggregated_somatic_mutations,,Not specified,Not specified,Not specified
aligned_reads_indexes,,Not specified,Not specified,Not specified
analysis_metadata_files,,Not specified,Not specified,Not specified
biospecimen_supplements,,Not specified,Not specified,Not specified
clinical_supplements,,Not specified,Not specified,Not specified
copy_number_auxiliary_files,,Not specified,Not specified,Not specified
copy_number_estimates,,Not specified,Not specified,Not specified
demographics,,Not specified,Not specified,Not specified
experiment_metadata_files,,Not specified,Not specified,Not specified
exposures,,Not specified,Not specified,Not specified
family_histories,,Not specified,Not specified,Not specified
files,,Not specified,Not specified,Not specified
filtered_copy_number_segments,,Not specified,Not specified,Not specified
gene_expressions,,Not specified,Not specified,Not specified
masked_methylation_arrays,,Not specified,Not specified,Not specified
masked_somatic_mutations,,Not specified,Not specified,Not specified
methylation_beta_values,,Not specified,Not specified,Not specified
mirna_expressions,,Not specified,Not specified,Not specified
molecular_tests,,Not specified,Not specified,Not specified
other_clinical_attributes,,Not specified,Not specified,Not specified
pathology_details,,Not specified,Not specified,Not specified
pathology_reports,,Not specified,Not specified,Not specified
protein_expressions,,Not specified,Not specified,Not specified
read_group_qcs,,Not specified,Not specified,Not specified
run_metadata_files,,Not specified,Not specified,Not specified
secondary_expression_analyses,,Not specified,Not specified,Not specified
simple_germline_variations,,Not specified,Not specified,Not specified
slide_images,,Not specified,Not specified,Not specified
somatic_mutation_indexes,,Not specified,Not specified,Not specified
treatments,,Not specified,Not specified,Not specified
methylation_array_harmonization_workflows,,Not specified,Not specified,Not specified
methylation_liftover_workflows,,Not specified,Not specified,Not specified
major_version,integer,The number identifying the major version.,Not specified,Not specified
minor_version,integer,The number identifying the minor version.,Not specified,Not specified
release_date,,Not specified,Not specified,Not specified
roots,,Not specified,Not specified,Not specified
somatic_aggregation_workflows,,Not specified,Not specified,Not specified
mirna_expression_workflows,,Not specified,Not specified,Not specified
derived_files,,Not specified,Not specified,Not specified
related_files,,Not specified,Not specified,Not specified
tags,,Not specified,Not specified,Not specified
data_subtypes,,Not specified,Not specified,Not specified
data_formats,,Not specified,Not specified,Not specified
experimental_strategies,,Not specified,Not specified,Not specified
platforms,,Not specified,Not specified,Not specified
described_cases,,Not specified,Not specified,Not specified
namespace,string,Domain name of the center (e.g. broad.mit.edu).,Not specified,Not specified
short_name,string,Shortened name of the center (e.g. BI).,Not specified,Not specified
center_type,string,Type classification of the center (e.g. CGCC).,Not specified,Not specified
catalog_reference,string,HCMI catalog reference number for cancer model.,Not specified,Not specified
current_weight,number,"Numeric value that represents the current weight of the sample, measured in milligrams.",Not specified,Not specified
days_to_collection,integer,The number of days from the index date to the date a sample was collected for a specific study or project.,Not specified,Not specified
days_to_sample_procurement,integer,The number of days from the index date to the date a patient underwent a procedure (e.g. surgical resection) yielding a sample that was eventually used for research.,Not specified,Not specified
distributor_reference,string,Distributor reference number for cancer model.,Not specified,Not specified
freezing_method,string,Text term that represents the method used for freezing the sample.,Not specified,Not specified
growth_rate,integer,"Rate at which the model grows, measured as hours to time to split.",Not specified,Not specified
initial_weight,number,"Numeric value that represents the initial weight of the sample, measured in milligrams.",Not specified,Not specified
intermediate_dimension,number,"Intermediate dimension of the sample, in millimeters.",Not specified,Not specified
longest_dimension,number,"Numeric value that represents the longest dimension of the sample, measured in millimeters.",Not specified,Not specified
oct_embedded,string,Indicator of whether or not the sample was embedded in Optimal Cutting Temperature (OCT) compound.,Not specified,Not specified
passage_count,integer,Number of passages (splits) between the original tissue and this model.,Not specified,Not specified
pathology_report_uuid,string,UUID of the related pathology report.,Not specified,Not specified
sample_ordinal,integer,A number describing the samples place in an ordered sequence.,Not specified,Not specified
shortest_dimension,number,"Numeric value that represents the shortest dimension of the sample, measured in millimeters.",Not specified,Not specified
time_between_clamping_and_freezing,number,"Numeric representation of the elapsed time between the surgical clamping of blood supply and freezing of the sample, measured in minutes.",Not specified,Not specified
time_between_excision_and_freezing,number,"Numeric representation of the elapsed time between the excision and freezing of the sample, measured in minutes.",Not specified,Not specified
parent_samples,,Not specified,Not specified,Not specified
