l_column_id,r_column_id,l_table_id,r_table_id
blood_test_normal_range_lower,lab_test_ref_range_min,gdc_table,gdc_table_synthetic
blood_test_normal_range_upper,lab_test_ref_range_high,gdc_table,gdc_table_synthetic
bmi,body_mass_index,gdc_table,gdc_table_synthetic
body_surface_area,bsa_m2,gdc_table,gdc_table_synthetic
bone_marrow_malignant_cells,bone_marrow_blasts_presence,gdc_table,gdc_table_synthetic
breslow_thickness,tumor_thickness_mm,gdc_table,gdc_table_synthetic
burkitt_lymphoma_clinical_variant,burkitt_lymphoma_subtype,gdc_table,gdc_table_synthetic
cancer_detection_method,cancer_diagnosis_method,gdc_table,gdc_table_synthetic
cases,cancer_types,gdc_table,gdc_table_synthetic
catalog_reference,model_id,gdc_table,gdc_table_synthetic
category,sample_issue_type,gdc_table,gdc_table_synthetic
cause_of_death,mortality_cause,gdc_table,gdc_table_synthetic
cause_of_death_source,death_info_source,gdc_table,gdc_table_synthetic
cause_of_response,treatment_outcome_reason,gdc_table,gdc_table_synthetic
cd4_count,cd4_cell_count,gdc_table,gdc_table_synthetic
cdc_hiv_risk_factors,hiv_transmission_categories,gdc_table,gdc_table_synthetic
cell_count,cell_num,gdc_table,gdc_table_synthetic
center_type,facility_type,gdc_table,gdc_table_synthetic
centers,treatment_facilities,gdc_table,gdc_table_synthetic
channel,fluorescence_channel,gdc_table,gdc_table_synthetic
chemical_exposure_type,carcinogenic_agents,gdc_table,gdc_table_synthetic
chemo_concurrent_to_radiation,concurrent_chemoradiation,gdc_table,gdc_table_synthetic
child_pugh_classification,child_pugh_score,gdc_table,gdc_table_synthetic
chip_id,sample_id,gdc_table,gdc_table_synthetic
chip_position,well_plate_location,gdc_table,gdc_table_synthetic
chipseq_antibody,chip_seq_ab,gdc_table,gdc_table_synthetic
chipseq_target,histone_modification,gdc_table,gdc_table_synthetic
chromosomal_translocation,genetic_translocations,gdc_table,gdc_table_synthetic
chromosome,chrom_loc,gdc_table,gdc_table_synthetic
chromosome_arm,chrom_arm,gdc_table,gdc_table_synthetic
cigarettes_per_day,daily_smoking_intensity,gdc_table,gdc_table_synthetic
circumferential_resection_margin,crm_mm,gdc_table,gdc_table_synthetic
clark_level,clark_level_of_invasion,gdc_table,gdc_table_synthetic
classification,data_status,gdc_table,gdc_table_synthetic
classification_of_tumor,tumor_stage_type,gdc_table,gdc_table_synthetic
clinical_supplements,nutritional_supplements,gdc_table,gdc_table_synthetic
clinical_trial_indicator,trial_participation_ind,gdc_table,gdc_table_synthetic
clonality,tumor_clonality_status,gdc_table,gdc_table_synthetic
coal_dust_exposure,coal_dust_exp,gdc_table,gdc_table_synthetic
code,research_area_code,gdc_table,gdc_table_synthetic
cog_liver_stage,hepatic_cancer_stage,gdc_table,gdc_table_synthetic
cog_neuroblastoma_risk_group,neuroblastoma_risk_classification,gdc_table,gdc_table_synthetic
cog_renal_stage,renal_stage_classification,gdc_table,gdc_table_synthetic
cog_rhabdomyosarcoma_risk_group,rhabdomyosarcoma_risk_classification,gdc_table,gdc_table_synthetic
columnar_mucosa_present,columnar_epithelium_status,gdc_table,gdc_table_synthetic
comorbidities,coexisting_conditions,gdc_table,gdc_table_synthetic
comorbidity,coexisting_conditions,gdc_table,gdc_table_synthetic
comorbidity_method_of_diagnosis,diagnosis_method,gdc_table,gdc_table_synthetic
composition,sample_type,gdc_table,gdc_table_synthetic
concentration,concentration_mM,gdc_table,gdc_table_synthetic
consent_type,consent_type_alt,gdc_table,gdc_table_synthetic
consistent_pathology_review,path_review_status,gdc_table,gdc_table_synthetic
contamination,contamination_level,gdc_table,gdc_table_synthetic
contamination_error,sample_contam_pct,gdc_table,gdc_table_synthetic
contiguous_organ_invaded,direct_invasion_organs,gdc_table,gdc_table_synthetic
copy_number,cnv_count,gdc_table,gdc_table_synthetic
copy_number_auxiliary_files,CNV_supporting_documents,gdc_table,gdc_table_synthetic
copy_number_estimates,cnv_count,gdc_table,gdc_table_synthetic
copy_number_liftover_workflows,structural_variant_liftover_methods,gdc_table,gdc_table_synthetic
copy_number_segments,cnv_segments,gdc_table,gdc_table_synthetic
copy_number_variation_workflows,CNV_detection_methods,gdc_table,gdc_table_synthetic
country_of_birth,birth_country,gdc_table,gdc_table_synthetic
country_of_residence_at_enrollment,enrollment_country,gdc_table,gdc_table_synthetic
course_number,treatment_cycle_no,gdc_table,gdc_table_synthetic
created_datetime,record_timestamp,gdc_table,gdc_table_synthetic
creation_datetime,sample_timestamp,gdc_table,gdc_table_synthetic
creator,author,gdc_table,gdc_table_synthetic
current_weight,body_weight_kg,gdc_table,gdc_table_synthetic
cytoband,chromosomal_location,gdc_table,gdc_table_synthetic
data_category,data_type,gdc_table,gdc_table_synthetic
data_format,file_type,gdc_table,gdc_table_synthetic
data_formats,file_types,gdc_table,gdc_table_synthetic
data_subtypes,cancer_biomarkers,gdc_table,gdc_table_synthetic
data_type,data_category,gdc_table,gdc_table_synthetic
data_types,biomarker_types,gdc_table,gdc_table_synthetic
days_to_adverse_event,time_to_ae_days,gdc_table,gdc_table_synthetic
days_to_best_overall_response,time_to_response_d,gdc_table,gdc_table_synthetic
days_to_birth,age_at_diagnosis_days,gdc_table,gdc_table_synthetic
days_to_collection,time_to_sample_collection_days,gdc_table,gdc_table_synthetic
days_to_comorbidity,time_to_comorbidity_days,gdc_table,gdc_table_synthetic
days_to_consent,time_to_consent_days,gdc_table,gdc_table_synthetic
days_to_death,survival_days,gdc_table,gdc_table_synthetic
days_to_diagnosis,time_to_diagnosis_days,gdc_table,gdc_table_synthetic
days_to_first_event,time_to_event_days,gdc_table,gdc_table_synthetic
days_to_follow_up,follow_up_duration_days,gdc_table,gdc_table_synthetic
days_to_imaging,time_to_scan_days,gdc_table,gdc_table_synthetic
days_to_last_follow_up,follow_up_duration_days,gdc_table,gdc_table_synthetic
days_to_last_known_disease_status,time_to_disease_status_change,gdc_table,gdc_table_synthetic
days_to_lost_to_followup,follow_up_duration_days,gdc_table,gdc_table_synthetic
days_to_pathology_detail,time_to_pathology_report_days,gdc_table,gdc_table_synthetic
days_to_progression,time_to_disease_progression,gdc_table,gdc_table_synthetic
days_to_progression_free,PFS_days,gdc_table,gdc_table_synthetic
days_to_recurrence,time_to_tumor_recurrence_days,gdc_table,gdc_table_synthetic
days_to_risk_factor,time_to_exposure_years,gdc_table,gdc_table_synthetic
days_to_sample_procurement,time_to_sample_collection_days,gdc_table,gdc_table_synthetic
days_to_sequencing,time_to_seq_days,gdc_table,gdc_table_synthetic
days_to_test,time_to_test_days,gdc_table,gdc_table_synthetic
days_to_treatment_end,treatment_duration_days,gdc_table,gdc_table_synthetic
days_to_treatment_start,time_to_treatment_initiation_days,gdc_table,gdc_table_synthetic
dbgap_accession_number,study_accession_id,gdc_table,gdc_table_synthetic
demographics,patient_background,gdc_table,gdc_table_synthetic
derived_files,associated_data_types,gdc_table,gdc_table_synthetic
described_cases,cancer_types,gdc_table,gdc_table_synthetic
diabetes_treatment_type,diabetes_medication_type,gdc_table,gdc_table_synthetic
diagnoses,cancer_types,gdc_table,gdc_table_synthetic
diagnosis_is_primary_disease,is_primary_tumor,gdc_table,gdc_table_synthetic
diagnosis_pathologically_confirmed,pathological_diagnosis_confirmed,gdc_table,gdc_table_synthetic
discontiguous_lesion_count,non_contig_lesion_num,gdc_table,gdc_table_synthetic
disease_response,treatment_outcome,gdc_table,gdc_table_synthetic
disease_type,cancer_type,gdc_table,gdc_table_synthetic
distance_normal_to_tumor,tumor_margin_distance,gdc_table,gdc_table_synthetic
distributor_reference,supplier_id,gdc_table,gdc_table_synthetic
dlco_ref_predictive_percent,pulmonary_diffusion_capacity_pct,gdc_table,gdc_table_synthetic
doi,publication_id,gdc_table,gdc_table_synthetic
double_expressor_lymphoma,DE_lymphoma_status,gdc_table,gdc_table_synthetic
double_hit_lymphoma,double_hit_lymph_status,gdc_table,gdc_table_synthetic
drug_category,treatment_type,gdc_table,gdc_table_synthetic
dysplasia_degree,dysplasia_severity,gdc_table,gdc_table_synthetic
dysplasia_type,dysplasia_type_alt,gdc_table,gdc_table_synthetic
ecog_performance_status,ecog_ps,gdc_table,gdc_table_synthetic
education_level,educational_attainment,gdc_table,gdc_table_synthetic
eln_risk_classification,aml_risk_group,gdc_table,gdc_table_synthetic
embolic_agent,embolization_material,gdc_table,gdc_table_synthetic
encoding,sequencing_quality_score_format,gdc_table,gdc_table_synthetic
enneking_msts_grade,enneking_stage,gdc_table,gdc_table_synthetic
enneking_msts_metastasis,m_stage_classification,gdc_table,gdc_table_synthetic
enneking_msts_stage,enneking_stage,gdc_table,gdc_table_synthetic
enneking_msts_tumor_site,musculoskeletal_tumor_stage,gdc_table,gdc_table_synthetic
ensat_clinical_m,metastasis_stage,gdc_table,gdc_table_synthetic
ensat_pathologic_n,lymph_node_status,gdc_table,gdc_table_synthetic
ensat_pathologic_stage,clinical_stage,gdc_table,gdc_table_synthetic
ensat_pathologic_t,tumor_stage_tnm,gdc_table,gdc_table_synthetic
environmental_tobacco_smoke_exposure,ETS_exposure_status,gdc_table,gdc_table_synthetic
epithelioid_cell_percent,epithelial_cell_percentage,gdc_table,gdc_table_synthetic
error_type,data_integrity_issues,gdc_table,gdc_table_synthetic
esophageal_columnar_dysplasia_degree,esophageal_dysplasia_severity,gdc_table,gdc_table_synthetic
esophageal_columnar_metaplasia_present,esophageal_barretts_metaplasia_status,gdc_table,gdc_table_synthetic
ethnicity,race_ethnicity,gdc_table,gdc_table_synthetic
evidence_of_progression_type,progression_evidence_type,gdc_table,gdc_table_synthetic
evidence_of_recurrence_type,recurrence_confirmation_type,gdc_table,gdc_table_synthetic
exercise_frequency_weekly,weekly_exercise_freq,gdc_table,gdc_table_synthetic
exon,gene_segments,gdc_table,gdc_table_synthetic
experiment_metadata_files,study_protocol_docs,gdc_table,gdc_table_synthetic
experiment_name,study_type,gdc_table,gdc_table_synthetic
experimental_protocol_type,sample_preparation_method,gdc_table,gdc_table_synthetic
experimental_strategies,research_methods,gdc_table,gdc_table_synthetic
experimental_strategy,assay_type,gdc_table,gdc_table_synthetic
exposure_duration,exposure_time,gdc_table,gdc_table_synthetic
exposure_duration_hrs_per_day,daily_exposure_hrs,gdc_table,gdc_table_synthetic
exposure_duration_years,exposure_time_yrs,gdc_table,gdc_table_synthetic
exposure_source,exposure_type,gdc_table,gdc_table_synthetic
exposure_type,risk_factor,gdc_table,gdc_table_synthetic
exposures,risk_factors,gdc_table,gdc_table_synthetic
expression_analysis_workflows,bioinformatics_pipelines,gdc_table,gdc_table_synthetic
extracapsular_extension,extracapsular_spread,gdc_table,gdc_table_synthetic
extracapsular_extension_present,extracapsular_spread_status,gdc_table,gdc_table_synthetic
extranodal_extension,extranodal_ext_status,gdc_table,gdc_table_synthetic
extrascleral_extension,extrascleral_ext,gdc_table,gdc_table_synthetic
extrathyroid_extension,thyroid_extension_status,gdc_table,gdc_table_synthetic
eye_color,iris_pigmentation,gdc_table,gdc_table_synthetic
fab_morphology_code,FAB_classification_code,gdc_table,gdc_table_synthetic
family_histories,cancer_family_history,gdc_table,gdc_table_synthetic
fastq_name,seq_file_name,gdc_table,gdc_table_synthetic
fev1_fvc_post_bronch_percent,post_bronch_fev1_fvc_ratio_percent,gdc_table,gdc_table_synthetic
fev1_fvc_pre_bronch_percent,pre_bronch_FEV1_FVC_ratio_percent,gdc_table,gdc_table_synthetic
fev1_ref_post_bronch_percent,post_bronchodilator_fev1_pct,gdc_table,gdc_table_synthetic
fev1_ref_pre_bronch_percent,predicted_fev1_pct_pre_bronchodilator,gdc_table,gdc_table_synthetic
figo_stage,cancer_stage,gdc_table,gdc_table_synthetic
figo_staging_edition_year,figo_version_year,gdc_table,gdc_table_synthetic
file_name,sample_data,gdc_table,gdc_table_synthetic
file_size,data_size_bytes,gdc_table,gdc_table_synthetic
file_state,data_status,gdc_table,gdc_table_synthetic
files,dataset_resources,gdc_table,gdc_table_synthetic
filtered_copy_number_segments,cnv_segments,gdc_table,gdc_table_synthetic
first_event,outcome_status,gdc_table,gdc_table_synthetic
first_symptom_longest_duration,initial_symptom_duration_days,gdc_table,gdc_table_synthetic
first_symptom_prior_to_diagnosis,initial_symptoms_pre_diagnosis,gdc_table,gdc_table_synthetic
flow_cell_barcode,sequencing_batch_id,gdc_table,gdc_table_synthetic
follow_ups,patient_outcomes,gdc_table,gdc_table_synthetic
fragment_maximum_length,read_length_max,gdc_table,gdc_table_synthetic
fragment_mean_length,avg_fragment_len,gdc_table,gdc_table_synthetic
fragment_minimum_length,min_frag_len,gdc_table,gdc_table_synthetic
fragment_standard_deviation_length,frag_std_dev_len,gdc_table,gdc_table_synthetic
fragmentation_enzyme,restriction_enzyme,gdc_table,gdc_table_synthetic
freezing_method,cryopreservation_technique,gdc_table,gdc_table_synthetic
gastric_esophageal_junction_involvement,GE_junction_involvement_status,gdc_table,gdc_table_synthetic
gender,sex,gdc_table,gdc_table_synthetic
gene_expressions,gene_expression_profiles,gdc_table,gdc_table_synthetic
gene_symbol,gene_id,gdc_table,gdc_table_synthetic
genomic_profile_harmonization_workflows,genomic_data_processing_steps,gdc_table,gdc_table_synthetic
germline_mutation_calling_workflows,germline_variant_detection_methods,gdc_table,gdc_table_synthetic
gleason_grade_group,gleason_score_category,gdc_table,gdc_table_synthetic
gleason_grade_tertiary,gleason_pattern_tertiary,gdc_table,gdc_table_synthetic
gleason_patterns_percent,gleason_score_percentage,gdc_table,gdc_table_synthetic
gleason_score,gleason_grade,gdc_table,gdc_table_synthetic
goblet_cells_columnar_mucosa_present,columnar_epithelial_cells_mucosal_presence,gdc_table,gdc_table_synthetic
greatest_tumor_dimension,max_tumor_diameter_cm,gdc_table,gdc_table_synthetic
gross_tumor_weight,tumor_mass_g,gdc_table,gdc_table_synthetic
growth_rate,tumor_growth_speed,gdc_table,gdc_table_synthetic
haart_treatment_indicator,antiretroviral_therapy_status,gdc_table,gdc_table_synthetic
height,body_height_cm,gdc_table,gdc_table_synthetic
hepatitis_sustained_virological_response,hepatitis_sv_response,gdc_table,gdc_table_synthetic
histologic_progression_type,tumor_grade,gdc_table,gdc_table_synthetic
histone_family,histone_type,gdc_table,gdc_table_synthetic
histone_variant,histone_type,gdc_table,gdc_table_synthetic
history_of_tumor,tumor_history_status,gdc_table,gdc_table_synthetic
history_of_tumor_type,tumor_history_type,gdc_table,gdc_table_synthetic
hiv_viral_load,hiv_vl_log_copies_ml,gdc_table,gdc_table_synthetic
hormonal_contraceptive_type,contraceptive_hormone_type,gdc_table,gdc_table_synthetic
hormonal_contraceptive_use,contraceptive_status,gdc_table,gdc_table_synthetic
hormone_replacement_therapy_type,HRT_type,gdc_table,gdc_table_synthetic
hpv_positive_type,hpv_strain,gdc_table,gdc_table_synthetic
hpv_strain,human_papillomavirus_type,gdc_table,gdc_table_synthetic
hysterectomy_margins_involved,hyst_margins_involved,gdc_table,gdc_table_synthetic
hysterectomy_type,hysterectomy_status,gdc_table,gdc_table_synthetic
icd_10,icd10_codes,gdc_table,gdc_table_synthetic
icd_10_code,cancer_type_icd10,gdc_table,gdc_table_synthetic
id,patient_id,gdc_table,gdc_table_synthetic
igcccg_stage,international_germ_cell_cancer_stage_grouping,gdc_table,gdc_table_synthetic
imaging_anatomic_site,anatomic_location_imaged,gdc_table,gdc_table_synthetic
imaging_date,scan_date,gdc_table,gdc_table_synthetic
imaging_findings,imaging_outcomes,gdc_table,gdc_table_synthetic
imaging_result,imaging_outcome,gdc_table,gdc_table_synthetic
imaging_suv,pet_suv_values,gdc_table,gdc_table_synthetic
imaging_suv_max,max_suv_values,gdc_table,gdc_table_synthetic
imaging_type,imaging_modality,gdc_table,gdc_table_synthetic
immunosuppressive_treatment_type,immunosuppressive_medication_type,gdc_table,gdc_table_synthetic
in_review,under_review,gdc_table,gdc_table_synthetic
includes_spike_ins,contains_spike_additions,gdc_table,gdc_table_synthetic
index_date,event_date,gdc_table,gdc_table_synthetic
initial_disease_status,disease_status_at_onset,gdc_table,gdc_table_synthetic
initial_weight,initial_wt_kg,gdc_table,gdc_table_synthetic
inpc_grade,tumor_grade,gdc_table,gdc_table_synthetic
inpc_histologic_group,histology_classification,gdc_table,gdc_table_synthetic
inrg_stage,inrg_classification,gdc_table,gdc_table_synthetic
inss_stage,cancer_stage,gdc_table,gdc_table_synthetic
instrument_model,sequencing_technology,gdc_table,gdc_table_synthetic
intended_release_date,planned_publication_date,gdc_table,gdc_table_synthetic
intermediate_dimension,tumor_size_mm,gdc_table,gdc_table_synthetic
international_prognostic_index,IPI_score,gdc_table,gdc_table_synthetic
intron,int_regions,gdc_table,gdc_table_synthetic
irs_group,irs_classification,gdc_table,gdc_table_synthetic
irs_stage,irs_stage_alternative,gdc_table,gdc_table_synthetic
is_ffpe,ffpe_status,gdc_table,gdc_table_synthetic
is_legacy,is_deprecated,gdc_table,gdc_table_synthetic
ishak_fibrosis_score,hepatic_fibrosis_stage,gdc_table,gdc_table_synthetic
iss_stage,cancer_stage,gdc_table,gdc_table_synthetic
karnofsky_performance_status,performance_score_kps,gdc_table,gdc_table_synthetic
kmer_content,sequence_quality_check,gdc_table,gdc_table_synthetic
laboratory_test,clinical_biomarkers,gdc_table,gdc_table_synthetic
lane_number,lane_id,gdc_table,gdc_table_synthetic
largest_extrapelvic_peritoneal_focus,extrapelvic_peritoneal_involvement_size,gdc_table,gdc_table_synthetic
last_known_disease_status,current_disease_status,gdc_table,gdc_table_synthetic
laterality,side_of_lesion,gdc_table,gdc_table_synthetic
legacy_created_datetime,record_creation_timestamp,gdc_table,gdc_table_synthetic
legacy_updated_datetime,last_modified_timestamp,gdc_table,gdc_table_synthetic
lesions_treated_number,num_lesions_treated,gdc_table,gdc_table_synthetic
library_name,cancer_data_sources,gdc_table,gdc_table_synthetic
library_preparation_kit_catalog_number,library_prep_kit_cat_no,gdc_table,gdc_table_synthetic
library_preparation_kit_name,seq_lib_prep_kit,gdc_table,gdc_table_synthetic
library_preparation_kit_vendor,seq_kit_manufacturer,gdc_table,gdc_table_synthetic
library_preparation_kit_version,seq_lib_prep_kit_ver,gdc_table,gdc_table_synthetic
library_selection,library_prep_method,gdc_table,gdc_table_synthetic
library_strand,RNA_seq_library_orientation,gdc_table,gdc_table_synthetic
library_strategy,sequencing_technique,gdc_table,gdc_table_synthetic
loci_abnormal_count,abnormal_loci_count,gdc_table,gdc_table_synthetic
loci_count,num_of_loci,gdc_table,gdc_table_synthetic
locus,gene_chromosome_location,gdc_table,gdc_table_synthetic
longest_dimension,max_tumor_diameter,gdc_table,gdc_table_synthetic
lost_to_followup,follow_up_status,gdc_table,gdc_table_synthetic
lymph_node_dissection_method,lymph_node_dissection_type,gdc_table,gdc_table_synthetic
lymph_node_dissection_site,lymph_node_excision_location,gdc_table,gdc_table_synthetic
lymph_node_involved_site,lymph_node_sites,gdc_table,gdc_table_synthetic
lymph_node_involvement,lymph_node_status,gdc_table,gdc_table_synthetic
lymph_nodes_positive,positive_lymph_node_count,gdc_table,gdc_table_synthetic
lymph_nodes_removed,lymph_node_status,gdc_table,gdc_table_synthetic
lymph_nodes_tested,num_lymph_nodes_examined,gdc_table,gdc_table_synthetic
lymphatic_invasion_present,lymph_invasion_status,gdc_table,gdc_table_synthetic
magnification,optical_zoom_level,gdc_table,gdc_table_synthetic
major_version,version_num,gdc_table,gdc_table_synthetic
margin_distance,tumor_margin_dist_mm,gdc_table,gdc_table_synthetic
margin_status,tumor_margin_status,gdc_table,gdc_table_synthetic
margins_involved_site,tumor_invasion_sites,gdc_table,gdc_table_synthetic
marital_status,relationship_status,gdc_table,gdc_table_synthetic
masaoka_stage,masaoka_karnofsky_stage,gdc_table,gdc_table_synthetic
masked_methylation_arrays,cg_methylation_status,gdc_table,gdc_table_synthetic
masked_somatic_mutations,genetic_variants,gdc_table,gdc_table_synthetic
max_tumor_bulk_site,primary_tumor_location,gdc_table,gdc_table_synthetic
md5sum,file_hash,gdc_table,gdc_table_synthetic
mean_coverage,avg_seq_depth,gdc_table,gdc_table_synthetic
measurement_type,imaging_modality,gdc_table,gdc_table_synthetic
measurement_unit,measurement_unit_abbr,gdc_table,gdc_table_synthetic
medulloblastoma_molecular_classification,medulloblastoma_subtype,gdc_table,gdc_table_synthetic
melanoma_known_primary,primary_melanoma_status,gdc_table,gdc_table_synthetic
menopause_status,menopausal_status,gdc_table,gdc_table_synthetic
metaplasia_present,metaplastic_status,gdc_table,gdc_table_synthetic
metastasis_at_diagnosis,metastatic_status_at_diag,gdc_table,gdc_table_synthetic
metastasis_at_diagnosis_site,initial_metastatic_sites,gdc_table,gdc_table_synthetic
method_of_diagnosis,diagnosis_method,gdc_table,gdc_table_synthetic
method_of_sample_procurement,sample_collection_method,gdc_table,gdc_table_synthetic
methylation_array_harmonization_workflows,DNA_methylation_data_processing_steps,gdc_table,gdc_table_synthetic
methylation_beta_values,DNA_methylation_levels,gdc_table,gdc_table_synthetic
methylation_liftover_workflows,methylation_conversion_protocols,gdc_table,gdc_table_synthetic
micrometastasis_present,micromet_status,gdc_table,gdc_table_synthetic
micropapillary_features,micropap_features,gdc_table,gdc_table_synthetic
minor_version,minor_rel,gdc_table,gdc_table_synthetic
mirna_expression_workflows,miRNA_detection_methods,gdc_table,gdc_table_synthetic
mirna_expressions,microRNA_expressions,gdc_table,gdc_table_synthetic
mismatch_repair_mutation,MMR_status,gdc_table,gdc_table_synthetic
mitosis_karyorrhexis_index,cell_death_rate_index,gdc_table,gdc_table_synthetic
mitotic_count,mitotic_rate,gdc_table,gdc_table_synthetic
mitotic_total_area,mitotic_area_total,gdc_table,gdc_table_synthetic
molecular_analysis_method,genetic_testing_technique,gdc_table,gdc_table_synthetic
molecular_consequence,variant_effect,gdc_table,gdc_table_synthetic
molecular_tests,genetic_biomarkers,gdc_table,gdc_table_synthetic
morphologic_architectural_pattern,tumor_growth_pattern,gdc_table,gdc_table_synthetic
morphology,histology_code,gdc_table,gdc_table_synthetic
msi_score,microsatellite_instability_score,gdc_table,gdc_table_synthetic
msi_status,microsatellite_instability_status,gdc_table,gdc_table_synthetic
multiplex_barcode,sample_id,gdc_table,gdc_table_synthetic
mutation_codon,mutation_position,gdc_table,gdc_table_synthetic
myasthenia_gravis_classification,MG_severity_scale,gdc_table,gdc_table_synthetic
nadir_cd4_count,lowest_cd4_count,gdc_table,gdc_table_synthetic
name,genomic_feature,gdc_table,gdc_table_synthetic
namespace,institution_domain,gdc_table,gdc_table_synthetic
necrosis_percent,tumor_necrosis_pct,gdc_table,gdc_table_synthetic
