Unnamed: 0,Unnamed: 1,counts,Unnamed: 3,Unnamed: 4,Unnamed: 5,p-values (Bonferroni corrected),Unnamed: 7,Unnamed: 8,Unnamed: 9
Stage_mod,III,10,3,0,8,0.769243701554211,1,1,1
Stage_mod,IV,0,0,0,1,1,1,1,1
Stage_mod,,1,6,89,3,1,1,1.01069646966619e-43,1
Country.of.Origin,bulgaria,11,8,20,8,1,1,1,1
Country.of.Origin,china,7,4,16,6,1,1,1,1
Country.of.Origin,other,1,0,2,1,1,1,1,1
Country.of.Origin,poland,4,5,11,5,1,1,1,1
Country.of.Origin,russia,0,1,1,1,1,1,1,1
Country.of.Origin,ukraine,6,2,6,3,1,1,1,1
Country.of.Origin,usa,7,9,27,18,1,1,1,1
Country.of.Origin,vietnam,2,0,6,4,1,1,1,1
Gender,female,3,9,19,11,1,1,1,1
Gender,male,35,20,70,35,1,1,1,1
Ethnicity_mod,Asian,9,4,22,10,1,1,1,1
Ethnicity_mod,Black,0,0,1,1,1,1,1,1
Ethnicity_mod,Caucasian,22,24,57,30,1,1,1,1
Ethnicity_mod,,2,0,2,2,1,1,1,1
Ethnicity_mod,Slavic,5,1,7,3,1,1,1,1
Ancestry_PCA,Ad Mixed American,0,1,0,0,1,1,1,1
Ancestry_PCA,African,1,0,0,1,1,1,1,1
Ancestry_PCA,East Asian,9,4,0,10,1,1,1,1
Ancestry_PCA,European,28,19,0,33,0.00143644219601404,1,1,0.000301552319921117
Ancestry_PCA,"Mixed (European , South Asian)",0,0,0,2,1,1,1,1
Ancestry_PCA,,0,5,89,0,1,1,3.56102229448806e-49,1
CIMP.status.meth,CIMP-high,14,1,0,13,0.0257326500335842,1,1,1
CIMP.status.meth,CIMP-intermediate,8,21,0,22,1,3.94853710420568e-06,1,0.0676141196970552
CIMP.status.meth,CIMP-low,13,2,0,9,0.0172933478491496,1,1,1
CIMP.status.meth,,3,5,89,2,1,1,1.01069646966619e-43,1
TP53.mutation.status,0,1,9,89,0,1,1,1.01069646966619e-43,1
TP53.mutation.status,1,37,20,0,46,4.03210455706189e-09,1,1,3.21546852342264e-14
PTEN.mutation.status,0,37,26,89,38,1,1,0.403594214778864,1
PTEN.mutation.status,1,1,3,0,8,1,1,1,0.565930322579947
CDKN2A.mutation.status,0,35,26,89,35,1,1,0.0163369697734078,1
CDKN2A.mutation.status,1,3,3,0,11,1,1,1,0.0704927792270957
KMT2D.mutation.status,0,28,26,89,31,1,1,8.96353115893737e-06,1
KMT2D.mutation.status,1,10,3,0,15,1,1,1,0.0661716719189034
NFE2L2.mutation.status,0,35,28,89,37,1,1,0.214542187856133,1
NFE2L2.mutation.status,1,3,1,0,9,1,1,1,0.161218652106924
ARID1A.mutation.status,0,33,29,89,37,1,1,0.113514385109065,1
ARID1A.mutation.status,1,5,0,0,9,1,1,1,0.372782213179594
CUL3.mutation.status,0,36,29,89,40,1,1,1,1
CUL3.mutation.status,1,2,0,0,6,1,1,1,1
BRCA2.mutation.status,0,34,29,89,45,1,1,1,1
BRCA2.mutation.status,1,4,0,0,1,1,1,1,1
KEAP1.mutation.status,0,33,27,89,40,1,1,0.214542187856133,1
KEAP1.mutation.status,1,5,2,0,6,1,1,1,1
SUZ12.mutation.status,0,36,28,89,45,1,1,1,1
SUZ12.mutation.status,1,2,1,0,1,1,1,1,1
NF1.mutation.status,0,37,25,89,39,1,1,0.403594214778864,1
NF1.mutation.status,1,1,4,0,7,1,1,1,1
PIK3CA.mutation.status,0,35,27,89,40,1,1,0.755749951203559,1
PIK3CA.mutation.status,1,3,2,0,6,1,1,1,1
NOTCH1.mutation.status,0,30,25,89,43,1,1,0.0597761921584969,1
NOTCH1.mutation.status,1,8,4,0,3,1,1,1,1
CUL3.NFE2L2.KEAP1.mutation.status,0,28,26,89,28,1,1,1.02596285717889e-06,1
CUL3.NFE2L2.KEAP1.mutation.status,1,10,3,0,18,1,1,1,0.0018128117117867
CDKN2A.pathway.alteration.status,0,22,23,89,34,1,1,1.10965700785612e-07,1
CDKN2A.pathway.alteration.status,1,16,6,0,12,0.0150932878793007,1,1,1
PIK3CA.pathway.alteration.status,0,18,23,89,17,1,1,2.88777071300258e-15,1
PIK3CA.pathway.alteration.status,1,20,6,0,29,0.106704849938742,1,1,2.17698853480857e-06
FGFR3.TACC3.fusion.rna,0,38,29,89,44,1,1,1,1
FGFR3.TACC3.fusion.rna,1,0,0,0,2,1,1,1,1
KAT6A.scna.wxs,0,34,22,0,36,3.33644719108104e-07,0.21019232384564,1,0.000187048992101542
KAT6A.scna.wxs,2,4,2,0,10,1,1,1,0.239203980015126
KAT6A.scna.wxs,,0,5,89,0,1,1,3.56102229448806e-49,1
SOX2.scna.wxs,0,19,20,0,18,0.73877511140762,0.000475699809942124,1,1
SOX2.scna.wxs,2,19,4,0,28,0.119408241298319,1,1,1.44238492630337e-06
SOX2.scna.wxs,,0,5,89,0,1,1,3.56102229448806e-49,1
TP63.scna.wxs,0,21,18,0,24,0.306627398821975,0.115465222933511,1,0.339083323018417
TP63.scna.wxs,2,17,6,0,22,0.272004563964499,1,1,0.00458998037433283
TP63.scna.wxs,,0,5,89,0,1,1,3.56102229448806e-49,1
FGFR1.scna.wxs,0,28,20,0,32,0.00143644219601404,0.316140944581479,1,0.00165822333308648
FGFR1.scna.wxs,2,10,4,0,14,1,1,1,0.329338989080028
FGFR1.scna.wxs,,0,5,89,0,1,1,3.56102229448806e-49,1
CDKN2A.scna.wxs,-2,6,1,0,2,0.950019647314324,1,1,1
CDKN2A.scna.wxs,0,32,23,0,44,0.000478953351767795,0.193155877942209,1,1.07727634431408e-11
CDKN2A.scna.wxs,,0,5,89,0,1,1,3.56102229448806e-49,1
Subtype.TCGA.rna,Basal,10,4,0,16,1,1,1,0.0377666437498676
Subtype.TCGA.rna,Classical,21,4,0,17,6.30311403780238e-05,1,1,1
Subtype.TCGA.rna,,0,5,89,0,1,1,3.56102229448806e-49,1
Subtype.TCGA.rna,Primitive,4,2,0,3,1,1,1,1
Subtype.TCGA.rna,Secretory,3,14,0,5,1,5.46921212550215e-06,1,1
Subtype.TCGA.rna,Unknown,0,0,0,5,1,1,1,0.289950714114387
NMF.cluster,Basal inclusive,10,0,0,13,1,1,1,0.107248969869844
NMF.cluster,Classical,14,2,0,14,0.0711076574649337,1,1,0.825903742255683
NMF.cluster,EMT enriched,6,3,0,7,1,1,1,1
NMF.cluster,Inflamed secretory,0,16,0,6,1,9.46315025166325e-09,1,1
NMF.cluster,,0,5,89,0,1,1,3.56102229448806e-49,1
NMF.cluster,Proliferative primitive,8,3,0,6,1,1,1,1
Immune.Subtype.Thorsson2018.rna,IFN-gamma dominant,9,16,0,28,1,0.178157971298241,1,5.19741599690474e-06
Immune.Subtype.Thorsson2018.rna,Inflammatory,0,7,79,0,1,1,2.86687770251594e-33,1
Immune.Subtype.Thorsson2018.rna,Lymphocyte depleted,1,0,10,1,1,1,1,1
Immune.Subtype.Thorsson2018.rna,TGF-beta dominant,6,5,0,10,1,1,1,1
Immune.Subtype.Thorsson2018.rna,Wound Healing,22,1,0,7,2.50852194132742e-10,1,1,1
ImmuneCluster,Cold Tumor,38,0,0,0,3.02825254293162e-39,1,1,1
ImmuneCluster,Hot Tumor,0,29,0,0,1,5.75088274102818e-33,1,1
ImmuneCluster,NAT-enriched,0,0,89,0,1,1,6.48744079493673e-57,1
ImmuneCluster,Warm Tumor,0,0,0,46,1,1,1,7.24094292405383e-44
