original_paper_variable_names,GDC_format_variable_names,generated_column_type
C3N-01381,None,None
C3L-01703,None,None
C3L-02118,None,None
C3L-03628,None,None
C3N-03780,None,None
C3L-01637,None,None
C3N-04119,None,None
C3L-02899,None,bmi
C3N-02971,None,None
C3N-02573,None,None
C3L-00819,None,None
C3N-01714,None,None
C3L-02890,None,None
C3L-02116,None,None
C3L-01453,None,tumor_largest_dimension_diameter
C3L-03635,None,None
C3N-00518,None,None
C3N-03840,None,None
C3L-02606,None,None
C3N-03061,None,None
C3L-04848,None,None
C3N-00514,None,None
C3L-02897,None,None
C3L-01687,None,None
C3N-02940,None,None
C3L-04080,None,None
C3N-03853,None,None
C3N-04283,None,None
C3L-02109,None,None
C3L-03630,None,tumor_largest_dimension_diameter
C3L-01662,None,None
C3N-00709,None,None
C3N-03007,None,None
C3N-03665,None,None
C3L-01598,None,None
C3L-00599,None,tumor_largest_dimension_diameter
C3L-01051,None,None
C3N-01716,None,None
C3N-03839,None,None
C3L-04479,None,None
C3L-00625,None,None
C3N-03754,None,None
C3L-01037,None,None
C3N-03666,None,None
C3N-04126,None,None
C3L-00017,None,None
C3L-01689,None,None
C3L-04027,None,None
C3N-02585,None,None
C3N-03039,None,None
C3N-03086,None,None
C3L-02463,None,None
C3N-00249,None,None
C3L-00589,None,None
C3N-00302,None,None
C3L-03743,None,None
C3N-00511,None,None
C3N-03190,None,None
C3N-00516,None,None
C3L-02610,None,None
C3N-02579,None,None
C3N-03000,None,None
C3L-00598,None,None
C3N-03430,None,None
C3L-02809,None,None
C3N-02768,None,None
C3L-03123,None,None
C3N-02010,None,None
C3L-01031,None,None
C3N-01167,None,None
C3L-01971,None,None
C3L-02604,None,None
C3L-00277,None,None
C3L-01328,None,None
C3L-03639,None,tumor_largest_dimension_diameter
C3N-04282,None,None
C3L-04072,None,None
C3L-02613,None,tumor_largest_dimension_diameter
Case_ID,None,Case_ID
Type,None,tissue_type
TMT_Set,None,None
TMT_Channel,None,None
Proteins,None,None
Peptides,None,None
Phosphoproteins,None,None
Phosphopeptides,None,None
Phosphosites,None,None
N-Glycoproteins,None,None
N-Glycopeptides,None,None
N-Glycosites,None,None
O-Glycoproteins,None,None
O-Glycopeptides,None,None
Table: Sample size of different data sets after excluding samples with low quality.,None,None
Unnamed: 1,None,tissue_type
Unnamed: 2,None,None
Unnamed: 3,None,tissue_type
Unnamed: 4,None,None
Case,None,Case_ID
Tissue Type,None,tissue_type
Sample Aliquot ID,None,tissue_type
Uniquely mapped reads number,None,None
Uniquely mapped reads %,None,None
% of reads mapped to multiple loci,None,None
% of reads mapped to too many loci,None,None
% of reads unmapped: other,None,None
% of reads unmapped: too short,None,None
Insertion rate per base,None,None
"Mismatch rate per base, %",None,None
Number of input reads,None,None
Number of reads mapped to multiple loci,None,None
Number of reads mapped to too many loci,None,None
Number of splices: Total,None,None
Sample Aliquot,None,None
Bam File,None,None
Total Reads,None,None
Proper Mapped Reads,None,None
Coverage,None,None
Cov_100x,None,None
Template Mean,None,None
Template SD,None,height
Tumor/Normal,tissue_type,tissue_type
Gender,gender,gender
Age,age_at_diagnosis,age_at_diagnosis
BMI,bmi,bmi
Race,race,race
Ethnicity_Self_Identify,ethnicity,ethnicity
Tumor_Site,site_of_resection_or_biopsy;tissue_or_organ_of_origin,tissue_or_organ_of_origin
Tumor_Site_Other,None,tissue_or_organ_of_origin
Tumor_Size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
Tumor_Focality,tumor_focality,tumor_focality
Histologic_Type,primary_diagnosis,primary_diagnosis
Grade,tumor_grade,tumor_grade
Tumor_Stage_Pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
Path_Stage_Primary_Tumor_pT,ajcc_pathologic_t,ajcc_pathologic_t
Path_Stage_Reg_Lymph_Nodes_pN,ajcc_pathologic_n,ajcc_pathologic_n
idx,None,None
Proteomics_Participant_ID,case_submitter_id,Case_ID
Case_excluded,None,None
Proteomics_TMT_batch,None,None
Proteomics_TMT_plex,None,None
Proteomics_TMT_channel,None,None
Proteomics_Parent_Sample_IDs,None,None
Proteomics_Aliquot_ID,None,Case_ID
Proteomics_Tumor_Normal,None,None
Proteomics_OCT,None,None
Country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
Histologic_Grade_FIGO,tumor_grade,tumor_grade
Myometrial_invasion_Specify,None,None
Histologic_type,primary_diagnosis,primary_diagnosis
Treatment_naive,None,None
Tumor_purity,None,None
Path_Stage_Primary_Tumor-pT,ajcc_pathologic_t,ajcc_pathologic_t
Path_Stage_Reg_Lymph_Nodes-pN,ajcc_pathologic_n,ajcc_pathologic_n
Clin_Stage_Dist_Mets-cM,ajcc_clinical_m,ajcc_clinical_m
Path_Stage_Dist_Mets-pM,ajcc_pathologic_m,ajcc_pathologic_m
tumor_Stage-Pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
FIGO_stage,figo_stage,figo_stage
LVSI,None,lymphatic_invasion_present
Diabetes,None,None
Ethnicity,ethnicity,ethnicity
Estrogen_Receptor,None,None
Estrogen_Receptor_%,None,None
Progesterone_Receptor,None,None
Progesterone_Receptor_%,None,None
MLH1,None,None
MLH2,None,None
MSH6,None,None
PMS2,None,None
p53,None,None
Other_IHC_specify,None,tissue_type
MLH1_Promoter_Hypermethylation,None,None
Num_full_term_pregnancies,None,None
EPIC_Bcells,None,None
EPIC_CAFs,None,None
EPIC_CD4_Tcells,None,None
EPIC_CD8_Tcells,None,None
EPIC_Endothelial,None,None
EPIC_Macrophages,None,None
EPIC_NKcells,None,None
EPIC_otherCells,None,None
CIBERSORT_B _cells _naive,None,None
CIBERSORT_B _cells _memory,None,None
CIBERSORT_Plasma _cells,None,None
CIBERSORT_T _cells _CD8,None,None
CIBERSORT_T _cells _CD4 _naive,None,None
CIBERSORT_T _cells _CD4 _memory _resting,None,None
CIBERSORT_T _cells _CD4 _memory _activated,None,None
CIBERSORT_T _cells _follicular _helper,None,None
CIBERSORT_T _cells _regulatory _(Tregs),None,None
CIBERSORT_T _cells _gamma _delta,None,None
CIBERSORT_NK _cells _resting,None,None
CIBERSORT_NK _cells _activated,None,None
CIBERSORT_Monocytes,None,None
CIBERSORT_Macrophages _M0,None,None
CIBERSORT_Macrophages _M1,None,None
CIBERSORT_Macrophages _M2,None,None
CIBERSORT_Dendritic _cells _resting,None,None
CIBERSORT_Dendritic _cells _activated,None,None
CIBERSORT_Mast _cells _resting,None,None
CIBERSORT_Mast _cells _activated,None,None
CIBERSORT_Eosinophils,None,None
CIBERSORT_Neutrophils,None,None
CIBERSORT_Absolute _score,None,None
ESTIMATE_StromalScore,None,None
ESTIMATE_ImmuneScore,None,None
ESTIMATE_ESTIMATEScore,None,None
Stemness_score,None,None
ER_ESR1,None,None
PR_PGR,None,None
Pathway_activity_EGFR,None,None
Pathway_activity_Hypoxia,None,None
Pathway_activity_JAK.STAT,None,None
Pathway_activity_MAPK,None,None
Pathway_activity_NFkB,None,None
Pathway_activity_PI3K,None,None
Pathway_activity_TGFb,None,None
Pathway_activity_TNFa,None,None
Pathway_activity_Trail,None,None
Pathway_activity_VEGF,None,None
Pathway_activity_p53,None,None
TP53_ATM,None,None
TP53_CHEK2,None,None
TP53_MDM4,None,None
TP53_RPS6KA3,None,None
TP53_TP53,None,None
TP53_pathway,None,None
PI3K_AKT1,None,None
PI3K_AKT2,None,None
PI3K_AKT3,None,None
PI3K_DEPDC5,None,None
PI3K_DEPTOR,None,None
PI3K_INPP4B,None,None
PI3K_MAPKAP1,None,None
PI3K_MLST8,None,None
PI3K_MTOR,None,None
PI3K_NPRL2,None,None
PI3K_NPRL3,None,None
PI3K_PDK1,None,None
PI3K_PIK3CA,None,None
PI3K_PIK3CB,None,None
PI3K_PIK3R1,None,None
PI3K_PIK3R2,None,None
PI3K_PPP2R1A,None,None
PI3K_PTEN,None,None
PI3K_RHEB,None,None
PI3K_RICTOR,None,None
PI3K_RPS6,None,None
PI3K_RPS6KB1,None,None
PI3K_RPTOR,None,None
PI3K_STK11,None,None
PI3K_TSC1,None,None
PI3K_TSC2,None,None
HRD_BRCA1,None,None
HRD_BRCA2,None,None
HRD_BRCA1_or_BRCA2,None,None
CNV_DEL,None,None
CNV_AMP,None,None
CNV_class,None,None
CNV_idx,None,None
CNV_1q_DEL,None,None
CNV_3q_DEL,None,None
CNV_4q_DEL,None,None
CNV_1q_AMP,None,None
CNV_3q_AMP,None,None
CNV_4q_AMP,None,None
Purity_Immune,None,None
Purity_Cancer,None,None
Purity_Stroma,None,None
POLE_subtype,None,None
JAK1_MS_INDEL,None,None
JAK1_Mutation,None,None
Log2_variant_per_Mbp,None,None
Log2_SNP_per_Mbp,None,None
Log2_INDEL_per_Mbp,None,None
Log2_variant_total,None,None
Log2_SNP_total,None,None
Log2_INDEL_total,None,None
Genomics_subtype,None,None
Mutation_signature_C>A,None,None
Mutation_signature_C>G,None,None
Mutation_signature_C>T,None,None
Mutation_signature_T>C,None,None
Mutation_signature_T>A,None,None
Mutation_signature_T>G,None,None
WXS_normal_sample_type,None,tissue_type
WXS_normal_filename,None,tissue_type
WXS_normal_UUID,None,Case_ID
WXS_tumor_sample_type,None,tissue_type
WXS_tumor_filename,None,tissue_type
WXS_tumor_UUID,None,Case_ID
WGS_normal_sample_type,None,tissue_type
WGS_normal_UUID,None,Case_ID
WGS_tumor_sample_type,None,tissue_type
WGS_tumor_UUID,None,Case_ID
RNAseq_R1_sample_type,None,tissue_type
RNAseq_R1_filename,None,None
RNAseq_R1_UUID,None,None
RNAseq_R2_sample_type,None,tissue_type
RNAseq_R2_filename,None,None
RNAseq_R2_UUID,None,rnaseq_r2_uuid
miRNAseq_sample_type,None,tissue_type
miRNAseq_UUID,None,None
Methylation_available,None,None
Methylation_quality,None,None
Column name,None,None
Column definition,None,None
Data type,None,None
Definition,None,None
SampleID,Case_ID,Case_ID
Clinical,None,None
Mutation,None,None
CNV,None,None
miRNA-seq,None,None
mRNA-seq,None,None
Label-free Proteome,None,None
TMT Proteome,None,None
TMT Proteome (Normal),None,None
TMT Phosphoproteome,None,None
TMT Phosphoproteome (Normal),None,None
Mucinous,None,tissue_type
Subsite,None,tissue_or_organ_of_origin
PT,ajcc_pathologic_t,ajcc_pathologic_t
PN,ajcc_pathologic_n,ajcc_pathologic_n
Stage,ajcc_pathologic_stage,ajcc_pathologic_stage
CEA,None,None
Vascular_Invasion,vascular_invasion_present,vascular_invasion_present
Lymphatic_Invasion,lymphatic_invasion_present,lymphatic_invasion_present
Perineural_Invasion,perineural_invasion_present,perineural_invasion_present
Synchronous_Tumors,synchronous_malignancy,synchronous_malignancy
Polyps_History,None,None
Polyps_Present,None,tumor_focality
Vital.Status,vital_status,vital_status
Tumor.Status,last_known_disease_status,vital_status
POLE_mutation,None,None
MSH2_mutation,None,None
MSH6_mutation,None,None
PMS2_mutation,None,None
KRAS_mutation,None,None
NRAS_mutation,None,None
BRAF_mutation,None,None
mutation_rate,None,None
Hypermutation_status,None,None
MSI_PCR_Result,None,None
MSmutectFishercall,None,None
CMS,None,None
ProS,None,tumor_grade
UMS,None,tumor_grade
StromalScore,None,None
ImmuneScore,None,None
ESTIMATEScore,None,None
TumorPurity,None,None
Stratification group,None,None
Group value,None,tumor_focality
n,None,lymph_nodes_positive
events,None,days_to_recurrence
median,None,None
0.95LCL,None,None
0.95UCL,None,tumor_largest_dimension_diameter
log-rank p-value,None,None
case,None,Case_ID
multiomic,None,None
nmf_consensus,None,None
nmf_cluster_membership,None,None
rna_wang_cancer_cell_2017,None,None
mRNA_stemness_index,None,None
dna_methyl,None,None
dna_methyl_consensus,None,None
dna_methyl_mnp,None,None
is_gcimp,None,None
mgmt_methyl_stp27_prediction,None,None
mgmt_methyl_stp27_probability,None,None
mgmt_methyl_clinical_test,None,None
mgmt_methyl_clinical_test_method,None,None
immune,None,None
xcell_immune_score,None,None
xcell_stroma_score,None,None
xcell_microenvironment_score,None,None
telomere,None,None
mirna,None,None
ancestry_prediction,None,race
ancestry_prediction_afr_prob,None,None
ancestry_prediction_amr_prob,None,None
ancestry_prediction_eas_prob,None,None
ancestry_prediction_eur_prob,None,None
ancestry_prediction_sas_prob,None,None
wxs_total_mutation,None,None
wgs_total_mutation,None,None
EGFR_alter_status,None,None
PTEN_alter_status,None,None
TP53_alter_status,None,None
NF1_alter_status,None,None
PDGFRA_alter_status,None,None
PIK3CA_alter_status,None,None
BRAF_alter_status,None,None
RB1_alter_status,None,None
ATRX_alter_status,None,None
IDH1_alter_status,None,None
PIK3R1_alter_status,None,None
TERT_alter_status,None,None
chr7_amp,None,None
chr10_del,None,None
aliquot_id,None,Case_ID
sample_id,None,Case_ID
original_aliquot_id,None,Case_ID
batch,None,None
plex,None,None
tmt_channel,None,None
research_id,None,Case_ID
kids_first_id,None,Case_ID
clinical_status_at_collection_event,None,vital_status
gender,gender,gender
height,height,height
weight,weight,weight
country_of_origin,country_of_residence_at_enrollment,None
ethnicity,ethnicity,ethnicity
ethnicity_self_identify,None,ethnicity
smoking_history,tobacco_smoking_status,tobacco_smoking_status
secondhand_smoke_exposure,secondhand_smoke_as_child,secondhand_smoke_as_child
tumor_laterality,biospecimen_laterality,biospecimen_laterality
tumor_site_curated,site_of_resection_or_biopsy;tissue_or_organ_of_origin,tissue_or_organ_of_origin
tumor_site_curation_notes,None,None
follow_up_period,None,None
path_diag_to_last_contact_days,days_to_last_follow_up,days_to_last_follow_up
path_diag_to_death_days,days_to_death,None
lost_to_follow_up,None,last_known_disease_status
tumor_reoccur_after_treatment,progression_or_recurrence,progression_or_recurrence
path_diag_to_tumor_reoccur_days,days_to_recurrence,days_to_recurrence
expert_path_review,None,None
expert_path_review_num_segments,None,None
expert_path_review_details,None,None
excluded_in_downstream_analysis,None,None
exclusion_reason,None,None
Sample.ID,None,Case_ID
Sample.IDs,None,Case_ID
TMT.Plex,None,None
TMT.Channel,None,tissue_type
Tumor.Stage,ajcc_pathologic_stage,ajcc_pathologic_stage
Ischemia.Time.in.Minutes,None,None
PAM50,None,None
NMF.Cluster,None,None
NMF.Cluster.Membership.Score,None,None
Age.in.Month,age_at_diagnosis,age_at_diagnosis
ER.Updated.Clinical.Status,None,last_known_disease_status
PR.Clinical.Status,None,last_known_disease_status
ERBB2.Updated.Clinical.Status,None,None
TNBC.Updated.Clinical.Status,None,vital_status
ERBB2.Proteogenomic.Status,None,None
TOP2A.Proteogenomic.Status,None,None
ERBB2.Gene.Amplified,None,None
TOP2A.Gene.Amplified,None,None
ESTIMATE.TumorPurity,None,None
CIBERSORT.Absolute.Score,None,None
ESTIMATE.Immune.Score,None,None
xCell.Immune.Score,None,None
ESTIMATE.Stromal.Score,None,None
xCell.Stromal.Score,None,None
CD3.TILS.Status,None,None
CD3.TILS.Counts,None,None
Number.of.non.synonymous.Mutations,None,None
APOBEC.Signature,None,None
Chromosome.INstability.index.CIN.,None,None
Stemness.Score,None,None
TP53.Mutation.Type,None,None
PIK3CA.Mutation.Type,None,None
PTEN.Mutation.Type,None,None
MAP3K1.Mutation.Type,None,None
AKT1.Mutation.Type,None,None
GATA3.Mutation.Type,None,None
CBFB.Mutation.Type,None,None
KMT2C.Mutation.Type,None,None
SF3B1.Mutation.Type,None,None
ARID1A.Mutation.Type,None,None
MLLT4.Mutation.Type,None,None
TP53.Mutation.Status,None,None
PIK3CA.Mutation.Status,None,None
PTEN.Mutation.Status,None,None
MAP3K1.Mutation.Status,None,None
AKT1.Mutation.Status,None,None
GATA3.Mutation.Status,None,None
CBFB.Mutation.Status,None,None
KMT2C.Mutation.Status,None,None
SF3B1.Mutation.Status,None,None
ARID1A.Mutation.Status,None,None
MLLT4.Mutation.Status,None,None
ACGT tag ID,None,Case_ID
Total reads,None,None
QC,None,None
mapping rates(%),None,None
No. of transcripts,None,None
Notes,None,None
Hugo_Symbol,None,None
Chromosome,None,None
Start_Position,None,Case_ID
End_position,None,None
Variant_Classification,None,None
Variant_Type,None,None
Tumor_Sample_Barcode,None,Case_ID
Matched_Norm_Sample_Barcode,None,None
n_ref_count,None,None
t_ref_count,None,None
t_alt_count,None,None
n_alt_count,None,None
t_depth,None,None
n_depth,None,None
Passed_Filters,None,None
Sample_id,None,Case_ID
participant,None,Case_ID
TOTAL_READS,None,None
PF_READS,None,None
READ_LENGTH,None,None
TOTAL_BASES,None,None
PF_BASES,None,None
Q20_BASES,None,None
PF_Q20_BASES,None,None
Q30_BASES,None,None
PF_Q30_BASES,None,None
Q20_EQUIVALENT_YIELD,None,None
PF_Q20_EQUIVALENT_YIELD,None,None
country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
smoke_age_start,tobacco_smoking_onset_year,tobacco_smoking_onset_year
smoke_age_stop,tobacco_smoking_quit_year,tobacco_smoking_quit_year
num_smoke_per_day,pack_years_smoked,cigarettes_per_day
num_pack_years_sm,None,pack_years_smoked
smoking_second_hand,secondhand_smoke_as_child,secondhand_smoke_as_child
smoking_inferred,None,None
alcohol_consum,alcohol_intensity,alcohol_intensity
num_yrs_alc_con,None,alcohol_intensity
tumor_site_original,site_of_resection_or_biopsy; tissue_or_organ_of_origin,tissue_or_organ_of_origin
histologic_type,primary_diagnosis,primary_diagnosis
histologic_grade,tumor_grade,tumor_grade
patho_staging_pt,ajcc_pathologic_t,ajcc_pathologic_t
patho_staging_pn,ajcc_pathologic_n,ajcc_pathologic_n
clinic_staging_dist_metas,ajcc_clinical_m,ajcc_clinical_m
tumor_stage,ajcc_pathologic_stage,ajcc_pathologic_stage
P16,None,None
HPV_inference,None,None
NAT_pathology_review,None,None
tumor_pathology_review,None,None
ESTIMATE_stromal_score,None,None
ESTIMATE_immune_score,None,None
CD3_IHC_count,None,None
stemness_score,None,None
neoAntigen_count,None,None
chr_instability_idx,None,None
integrated_subtype,None,None
transcriptomic_subtype,None,None
WES,None,None
WES_BN,None,None
WGS,None,None
WGS_BN,None,None
RNA-Seq,None,None
RNA-Seq_AN,None,None
MiRNA,None,None
MiRNA_AN,None,None
Methy,None,None
Methy_AN,None,None
Global_TMT,None,None
Global_TMT_AN,None,None
PhosphoTMT,None,None
PhosphoTMT_AN,None,None
Unnamed: 15,None,None
1: available; 0: unavailable,None,tissue_type
TMT set#,None,None
channel #,None,None
peptide amount for labeling (ug),None,None
type,None,tissue_type
combined_id,None,Case_ID
Participant,case_submitter_id,Case_ID
Experiment,None,None
Channel,None,None
Aliquot,None,None
Smoking.Status,can be inferred from tobacco_smoking_status,tobacco_smoking_status
Region.of.Origin,None,race
Country.of.Origin,None,country_of_residence_at_enrollment
Height.cm,height,height
Weight.kg,weight,weight
Cigarettes.per.Day,cigarettes_per_day,cigarettes_per_day
Pack.Years.Smoked,pack_years_smoked,pack_years_smoked
Smoking.History,tobacco_smoking_status,tobacco_smoking_status
Secondhand.Smoke,secondhand_smoke_as_child,secondhand_smoke_as_child
Smoking.Score.WGS,None,None
Smoking.Signature.Fraction.WGS,None,None
Dominant.Signature.WGS.notSmoking.50perc,None,None
Dominant.Signature.Fraction.WGS.notSmoking,None,None
DNP.GG.to.TT.or.CC.to.AA.Count.WGS,None,None
NMF.consensus,None,None
NMF.cluster.membership,None,None
mRNA.Expression.Subtype.TCGA,None,None
mRNA.stemness.index,None,None
CIMP.status,None,None
Tumor.Purity.byESTIMATE.RNAseq,None,None
TSNet Purity,None,None
ESTIMATE ImmuneScore,None,None
ESTIMATE StromalScore,None,None
QC.status,None,None
TP53.mutation,None,None
KRAS.mutation,None,None
STK11.mutation,None,None
EGFR.mutation,None,None
KEAP1.mutation,None,None
RB1.mutation,None,None
BRAF.mutation,None,None
ARAF.mutation,None,None
ERBB2.mutation,None,None
TP53.mutation.status,None,None
KRAS.mutation.status,None,None
STK11.mutation.status,None,None
EGFR.mutation.status,None,None
KEAP1.mutation.status,None,None
RB1.mutation.status,None,None
BRAF.mutation.status,None,None
ARAF.mutation.status,None,None
ERBB2.mutation.status,None,None
Total.Mutation.Count.WGS,None,None
Mutation.Count.ExcludingINDELs.WGS,None,None
Total.DNP.Count.WGS,None,None
Number.somatic.mutations,None,None
Mutation.Signature.Activity.W1.COSMIC5,None,None
Mutation.Signature.Activity.W2.COSMIC4,None,None
Mutation.Signature.Activity.W3.COSMIC2,None,None
ALK.fusion,None,None
ROS1.fusion,None,None
RET.fusion,None,None
Putative.driver.mutation,None,None
Methylation.QC,None,None
Dominant.Histological.Subtype,primary_diagnosis,None
NMF cluster (p<0.05),None,None
Unnamed: 5,None,None
Unnamed: 6,None,None
Unnamed: 7,None,None
Unnamed: 8,None,None
Unnamed: 9,None,None
Unnamed: 10,None,None
Unnamed: 11,None,None
counts,None,None
p-values (Bonferroni corrected),None,None
Smoking.History_modified,None,tobacco_smoking_status
Stage_mod,None,ajcc_pathologic_stage
Ethnicity_mod,None,ethnicity
Pathology.based.histology.assessment,None,primary_diagnosis
CIMP.status.meth,None,None
PTEN.mutation,None,None
CDKN2A.mutation,None,None
KMT2D.mutation,None,None
NFE2L2.mutation,None,None
ARID1A.mutation,None,None
CUL3.mutation,None,None
BRCA2.mutation,None,None
SUZ12.mutation,None,None
NF1.mutation,None,None
PIK3CA.mutation,None,None
NOTCH1.mutation,None,None
PTEN.mutation.status,None,None
CDKN2A.mutation.status,None,None
KMT2D.mutation.status,None,None
NFE2L2.mutation.status,None,None
ARID1A.mutation.status,None,None
CUL3.mutation.status,None,None
BRCA2.mutation.status,None,None
SUZ12.mutation.status,None,None
NF1.mutation.status,None,None
PIK3CA.mutation.status,None,None
NOTCH1.mutation.status,None,None
CUL3.NFE2L2.KEAP1.mutation.status,None,None
KAT6A.cna.wes,None,None
SOX2.cna.wes,None,None
TP63.cna.wes,None,None
FGFR1.cna.wes,None,None
CDKN2A.cna.wes,None,None
CDKN2A.pathway.alteration,None,None
CDKN2A.pathway.alteration.status,None,None
PIK3CA.pathway.alteration,None,None
PIK3CA.pathway.alteration.status,None,None
FGFR3.TACC3.fusion.rna,None,None
TCGA.RNA.cluster,None,tumor_focality
NMF.subtype,None,None
NMF.subtype.core,None,None
NMF.subtype.membership.score,None,None
CIN.wes,None,None
Smoking.Signature.Fraction.wes,None,None
Smoking.Signature.Count.wes,None,None
Total.Mutation.Count.wes,None,None
Mutation.Count.ExcludingINDELs.wes,None,None
DNP.Count.wes,None,None
DNP.Count.GG.to.TT.or.CC.to.AA.wes,None,None
Smoking.score.wes,None,None
Smoking.Score.Category.wes,None,None
Mutation.Count.Excluding.Silent.wes,None,None
Total.Mutation.Count.per.Mb.wes,None,None
TCGA pan-can immune clustering,None,None
ESTIMATE.StromalScore.rna,None,None
ESTIMATE.ImmuneScore.rna,None,None
ESTIMATE.TumorPurity.rna,None,None
TSNet.Purity.rna,None,None
ImmuneCluster.rna,None,None
xCell.ImmuneScore.rna,None,None
xCell.StromaScore.rna,None,None
xCell.MicroenvironmentScore.rna,None,None
CIBERSORT.AbsoluteScore.rna,None,None
